Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.97B,1.02B,1.01B,774.8M,659.2M
Cash & Short Term Investments Growth,-,-65.70%,-0.66%,-23.54%,-14.92%
Cash Only,2.85B,882.9M,876.4M,656.4M,643M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,39.73%,11.87%,11.76%,9.10%,7.58%
Total Accounts Receivable,570.5M,756.2M,774M,798.1M,785.6M
Total Accounts Receivable Growth,-,32.55%,2.35%,3.11%,-1.57%
"Accounts Receivables, Net",570.5M,756.2M,774M,798.1M,785.6M
"Accounts Receivables, Gross",571.2M,756.9M,774.7M,798.9M,786.4M
Bad Debt/Doubtful Accounts,(700K),(700K),(700K),(800K),(800K)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.96,1.73,1.95,1.67,1.57
Inventories,808.7M,885M,838.5M,928.2M,1.1B
Finished Goods,158.9M,226.9M,205.7M,229M,258.1M
Work in Progress,593.8M,595.9M,572.1M,637.7M,770.8M
Raw Materials,56M,62.2M,60.7M,61.5M,73.1M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,168.5M,204.1M,237.5M,274.4M,361.2M
Miscellaneous Current Assets,168.5M,204.1M,237.5M,274.4M,156.3M
Total Current Assets,4.52B,2.87B,2.86B,2.78B,2.91B
"Net Property, Plant & Equipment",1.61B,1.67B,1.73B,1.79B,1.82B
"Property, Plant & Equipment - Gross",3.76B,3.88B,4.04B,4.17B,4.26B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.14B,2.21B,2.3B,2.39B,2.44B
Total Investments and Advances,3.9M,7.1M,3.5M,3.4M,3M
Other Long-Term Investments,3.9M,7.1M,3.5M,3.4M,3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.22B,3.88B,3.81B,3.74B,3.72B
Net Goodwill,1.19B,2.18B,2.18B,2.18B,2.18B
Net Other Intangibles,34.7M,-,-,-,-
Other Assets,63.1M,55.7M,101M,96.2M,147.9M
Total Assets,7.49B,8.59B,8.62B,8.51B,8.69B
Total Assets Growth,-,14.75%,0.32%,-1.24%,2.15%
