Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.53B,4.79B,4.81B,4.22B,3.81B
Cash & Short Term Investments Growth,-,5.70%,0.54%,-12.40%,-9.68%
Cash Only,4.53B,4.79B,4.81B,4.22B,3.81B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,23.73%,24.78%,25.01%,22.38%,20.23%
Total Accounts Receivable,759M,861M,751M,890M,990M
Total Accounts Receivable Growth,-,13.44%,-12.78%,18.51%,11.24%
"Accounts Receivables, Net",759M,861M,751M,890M,990M
"Accounts Receivables, Gross",796M,891M,751M,923M,1.02B
Bad Debt/Doubtful Accounts,(37M),(30M),-,(33M),(34M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.60,1.49,1.59,1.49,1.41
Inventories,1.23B,1.19B,1.22B,1.24B,1.32B
Finished Goods,203M,207M,206M,197M,209M
Work in Progress,347M,322M,335M,357M,369M
Raw Materials,872M,850M,871M,886M,939M
Progress Payments & Other,(197M),(194M),(197M),(198M),(197M)
Other Current Assets,210M,197M,192M,216M,190M
Miscellaneous Current Assets,210M,197M,192M,216M,190M
Total Current Assets,6.72B,7.03B,6.97B,6.56B,6.31B
"Net Property, Plant & Equipment",777M,864M,794M,898M,903M
"Property, Plant & Equipment - Gross",-,1.5B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,635M,-,-,-
Total Investments and Advances,8M,8M,-,69M,54M
Other Long-Term Investments,8M,8M,-,69M,54M
Long-Term Note Receivables,3M,2M,1M,1M,1M
Intangible Assets,11.43B,11.36B,11.32B,11.25B,11.5B
Net Goodwill,8.59B,8.57B,8.57B,8.54B,8.73B
Net Other Intangibles,2.84B,2.79B,-,-,-
Other Assets,149M,52M,156M,56M,54M
Total Assets,19.09B,19.32B,19.24B,18.84B,18.82B
Total Assets Growth,-,1.18%,-0.38%,-2.08%,-0.12%
