Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,484.4M,513.2M,325.7M,357.2M,350.1M
Cash & Short Term Investments Growth,-,5.95%,-36.54%,9.67%,-1.99%
Cash Only,484.4M,513.2M,325.7M,357.2M,350.1M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.96%,7.33%,4.59%,4.98%,5.06%
Total Accounts Receivable,583.2M,580.5M,624.8M,655.7M,589.3M
Total Accounts Receivable Growth,-,-0.46%,7.63%,4.95%,-10.13%
"Accounts Receivables, Net",583.2M,580.5M,624.8M,655.7M,589.3M
"Accounts Receivables, Gross",583.2M,580.5M,631.8M,655.7M,589.3M
Bad Debt/Doubtful Accounts,-,-,(7M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.62,1.55,1.48,1.52,1.60
Inventories,298.5M,323.4M,363.3M,401M,371.7M
Finished Goods,184.1M,198M,221.3M,242.1M,234.2M
Work in Progress,13.4M,13.2M,12.4M,13.5M,9.9M
Raw Materials,101M,112.2M,129.6M,145.4M,127.6M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,128.4M,143.4M,136.8M,151.6M,163.9M
Miscellaneous Current Assets,128.4M,143.4M,136.8M,151.6M,163.9M
Total Current Assets,1.49B,1.56B,1.45B,1.57B,1.48B
"Net Property, Plant & Equipment",343.7M,375.6M,374.2M,381.9M,361.7M
"Property, Plant & Equipment - Gross",-,-,737.2M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,150.9M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,363M,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.36B,4.3B,4.49B,4.44B,4.32B
Net Goodwill,3.85B,3.82B,3.98B,3.97B,3.89B
Net Other Intangibles,508.3M,473.5M,-,-,-
Other Assets,264.2M,274.2M,284.7M,295.4M,299.9M
Total Assets,6.96B,7B,7.1B,7.18B,6.92B
Total Assets Growth,-,0.59%,1.37%,1.10%,-3.59%
