Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,689M,818M,761M,752M,710M
Cash Growth,-,18.72%,-6.97%,-1.18%,-5.59%
Total Investment Assets,86.55B,87.51B,87.38B,83.66B,80.46B
Investments Growth,-,1.11%,-0.15%,-4.25%,-3.83%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,1.02B,1B,979M,975M,970M
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,3.86B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,12.57B,12.31B,11.98B,12.49B,12.87B
Premium Balance Growth,-,-2.05%,-2.75%,4.33%,2.99%
"Net Property, Plant & Equipment",-,-,-,-,-
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),10.67B,10.66B,11B,11.02B,11.47B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,2.5B,2.57B,3.24B,2.65B,2.78B
Tangible Other Assets,3.83B,3.77B,3.45B,4.07B,4.44B
Intangible Assets,4.33B,4.31B,4.31B,4.3B,4.26B
Total Assets,110.47B,111.29B,112.58B,108.59B,106.88B
Assets - Total - 1 Year Growth,-,0.74%,1.16%,-3.54%,-1.57%
Return On Average Assets,-,-,-,-,3.28%
