Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.41B,1.11B,878.03M,405.43M,530.82M
Cash & Short Term Investments Growth,-,-21.27%,-21.02%,-53.82%,30.93%
Cash Only,1.41B,1.11B,878.03M,405.43M,530.82M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.37%,14.35%,10.16%,5.27%,6.75%
Total Accounts Receivable,-,6.83M,17.1M,9.03M,-
Total Accounts Receivable Growth,-,-,150.48%,-47.19%,-
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,-,442.06,194.11,334.90,-
Inventories,1.99B,2.2B,2.19B,2.57B,2.49B
Finished Goods,1.99B,2.2B,2.19B,2.57B,2.49B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,162.32M,149.55M,164.12M,185.63M,214.44M
Miscellaneous Current Assets,162.32M,149.55M,164.12M,185.63M,214.44M
Total Current Assets,3.57B,3.47B,3.25B,3.17B,3.23B
"Net Property, Plant & Equipment",4.01B,4.17B,4.4B,4.4B,4.5B
"Property, Plant & Equipment - Gross",-,-,6.21B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,694.46M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.81B,-,-
Total Investments and Advances,167K,465K,-,-,-
Other Long-Term Investments,167K,465K,-,-,-
Long-Term Note Receivables,-,-,14.9M,-,-
Intangible Assets,55.52M,55.52M,55.52M,55.52M,55.52M
Net Goodwill,-,-,32.42M,-,-
Net Other Intangibles,55.52M,55.52M,-,-,-
Other Assets,37.4M,37.54M,40.51M,63.17M,78.57M
Total Assets,7.69B,7.75B,8.65B,7.69B,7.87B
Total Assets Growth,-,0.75%,11.63%,-11.10%,2.37%
