Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,36.07M,29.23M,28.42M,26.93M,28.69M
Cash & Short Term Investments Growth,-,-18.95%,-2.79%,-5.25%,6.54%
Cash Only,36.07M,29.23M,28.42M,26.93M,28.69M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,139.05M,25.74M,26.86M,26.58M,37.55M
Short Term Receivables Growth,-,-81.49%,4.35%,-1.05%,41.28%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,9K,1.29M,3.28M,16.21M,20.1M
"Net Property, Plant & Equipments",199.21M,198.34M,197.46M,196.58M,195.76M
Other Assets (Including Intangibles),184.75M,251.1M,213.03M,206.13M,194.67M
Other Assets,184.75M,251.1M,191.62M,206.13M,194.67M
Intangible Assets,-,-,21.41M,-,-
Total Assets,9.92B,10.4B,10.78B,10.68B,11B
Total Assets Growth,-,4.85%,3.60%,-0.84%,2.92%
Return On Average Assets,-,-,-,-,1.47%
