Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,407.52M,669.51M,739.61M,568.7M,614M
Cash & Short Term Investments Growth,-,64.29%,10.47%,-23.11%,7.97%
Cash Only,407.52M,669.51M,739.61M,568.7M,614M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,10.41M,7.01M,8.15M,10.31M,19.17M
Short Term Receivables Growth,-,-32.66%,16.34%,26.47%,85.95%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,884K,109.5M,-
"Net Property, Plant & Equipments",69.08M,68.43M,68.52M,68.19M,67.65M
Other Assets (Including Intangibles),32.72M,70.52M,56.36M,56.9M,43.36M
Other Assets,32.72M,70.52M,56.36M,56.9M,43.36M
Intangible Assets,-,-,-,-,-
Total Assets,17.22B,17.55B,17.6B,21.74B,37.29B
Total Assets Growth,-,1.91%,0.28%,23.55%,71.51%
Return On Average Assets,-,-,-,-,5.85%
