Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.12B,1.2B,1.21B,1.21B,996.9M
Cash & Short Term Investments Growth,-,6.72%,0.62%,0.31%,-17.58%
Cash Only,216.5M,256.87M,223.49M,758.5M,606.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,64.49%,66.04%,60.78%,61.30%,56.56%
Total Accounts Receivable,9.79M,9.15M,12.95M,6.7M,10.6M
Total Accounts Receivable Growth,-,-6.46%,41.52%,-48.27%,58.21%
"Accounts Receivables, Net",4.96M,5.06M,5.28M,5.2M,4.3M
"Accounts Receivables, Gross",4.96M,5.06M,5.28M,5.2M,4.3M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,4.83M,4.09M,-,-,-
Accounts Receivable Turnover,33.66,36.52,26.27,51.78,33.20
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,56.29M,56.84M,49.98M,51.4M,54.7M
Miscellaneous Current Assets,1.63M,1.13M,981K,1.1M,800K
Total Current Assets,1.19B,1.26B,1.27B,1.27B,1.06B
"Net Property, Plant & Equipment",258.01M,258.72M,259.64M,252.2M,248.8M
"Property, Plant & Equipment - Gross",-,-,709.4M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,400.63M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,449.76M,-,-
Total Investments and Advances,8.93M,5.63M,5.33M,5.4M,5.3M
Other Long-Term Investments,8.93M,5.63M,5.33M,5.4M,5.3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,52.53M,52.53M,52.53M,52.5M,52.5M
Net Goodwill,52.53M,52.53M,52.53M,52.5M,52.5M
Net Other Intangibles,-,-,-,-,-
Other Assets,166.4M,168.26M,166.81M,164.6M,163.1M
Total Assets,1.74B,1.81B,1.98B,1.97B,1.76B
Total Assets Growth,-,4.21%,9.32%,-0.53%,-10.68%
