Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,20.26B,19.56B,17.24B,15.44B,20.04B
Cash & Short Term Investments Growth,-,-3.43%,-11.88%,-10.46%,29.84%
Cash Only,19.05B,17.54B,16.04B,14.21B,16.74B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,24.51%,23.60%,21.04%,18.87%,23.47%
Total Accounts Receivable,3.52B,3.81B,3.96B,3.77B,3.88B
Total Accounts Receivable Growth,-,8.36%,3.86%,-4.78%,3.03%
"Accounts Receivables, Net",1.85B,1.97B,2.17B,2.14B,2.02B
"Accounts Receivables, Gross",1.85B,1.97B,2.17B,2.14B,2.02B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,1.66B,1.84B,-,-,-
Accounts Receivable Turnover,1.74,1.72,1.78,1.91,1.87
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,4.27B,4.23B,4.71B,4.89B,5.05B
Miscellaneous Current Assets,4.27B,4.23B,4.71B,4.89B,5.05B
Total Current Assets,28.04B,27.61B,25.91B,24.09B,28.97B
"Net Property, Plant & Equipment",2.71B,2.72B,2.91B,3.12B,3.15B
"Property, Plant & Equipment - Gross",-,7.67B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,4.32B,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,4.96B,-,-,-
Total Investments and Advances,1.66B,3.17B,2.57B,2.66B,2.8B
Other Long-Term Investments,1.11B,1.71B,2.09B,2.3B,2.24B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,44.04B,43.62B,43.83B,45.15B,44.07B
Net Goodwill,16.02B,15.96B,16.56B,18.14B,17.98B
Net Other Intangibles,28.02B,27.66B,-,-,-
Other Assets,6.22B,5.7B,6.72B,6.79B,6.42B
Total Assets,82.67B,82.9B,81.93B,81.81B,85.41B
Total Assets Growth,-,0.27%,-1.17%,-0.15%,4.40%
