Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.2B,214M,1.68B,604M,133M
Cash & Short Term Investments Growth,-,-82.18%,685.05%,-64.05%,-77.98%
Cash Only,1.2B,214M,1.68B,604M,133M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.64%,0.47%,3.38%,1.31%,0.28%
Total Accounts Receivable,999M,1.99B,1.98B,1.97B,2.78B
Total Accounts Receivable Growth,-,98.80%,-0.40%,-0.25%,41.10%
"Accounts Receivables, Net",928M,1.47B,1.45B,1.43B,1.89B
"Accounts Receivables, Gross",929M,1.47B,1.46B,1.44B,1.91B
Bad Debt/Doubtful Accounts,(1M),(1M),(8M),(14M),(15M)
Other Receivable,71M,514M,-,-,-
Accounts Receivable Turnover,2.28,1.24,1.63,1.28,0.89
Inventories,194M,368M,379M,201M,371M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,231M,317M,512M,376M,499M
Miscellaneous Current Assets,231M,317M,512M,376M,499M
Total Current Assets,2.63B,2.89B,4.55B,3.15B,3.79B
"Net Property, Plant & Equipment",29.3B,29.31B,29.42B,29.19B,29.66B
"Property, Plant & Equipment - Gross",43.54B,43.9B,44.34B,44.42B,45.2B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,14.24B,14.59B,14.93B,15.23B,15.54B
Total Investments and Advances,5.12B,5.09B,5.13B,5.11B,5.12B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.28B,7.48B,7.4B,7.28B,7.63B
Net Goodwill,-,-,-,-,-
Net Other Intangibles,7.28B,7.48B,-,-,-
Other Assets,1.18B,1.22B,1.12B,1.32B,1.36B
Total Assets,45.51B,45.99B,49.76B,46.05B,47.56B
Total Assets Growth,-,1.05%,8.21%,-7.46%,3.27%
