Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.81B,2.48B,2.53B,2.32B,2.02B
Cash & Short Term Investments Growth,-,-11.62%,1.94%,-8.08%,-13.03%
Cash Only,2.81B,2.48B,2.53B,2.32B,2.02B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,21.54%,19.67%,20.17%,19.07%,17.14%
Total Accounts Receivable,245.96M,221.93M,199.46M,187.01M,186.38M
Total Accounts Receivable Growth,-,-9.77%,-10.12%,-6.24%,-0.34%
"Accounts Receivables, Net",245.96M,221.93M,199.46M,187.01M,186.38M
"Accounts Receivables, Gross",344M,316.24M,310.78M,287.11M,278.96M
Bad Debt/Doubtful Accounts,(98.04M),(94.31M),(111.32M),(100.1M),(92.58M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.03,4.48,5.28,5.10,4.88
Inventories,66.1M,64.04M,69.97M,72.24M,69.08M
Finished Goods,66.1M,64.04M,69.97M,72.24M,69.08M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,97.74M,90.54M,79.06M,83.27M,95.26M
Miscellaneous Current Assets,97.74M,90.54M,79.06M,83.27M,95.26M
Total Current Assets,3.22B,2.86B,2.88B,2.67B,2.37B
"Net Property, Plant & Equipment",9.31B,9.24B,9.14B,9.03B,8.95B
"Property, Plant & Equipment - Gross",14.81B,14.85B,14.86B,14.86B,14.89B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,5.49B,5.62B,5.73B,5.83B,5.94B
Total Investments and Advances,3.79M,3.78M,3.64M,3.33M,3.23M
Other Long-Term Investments,3.79M,3.78M,3.64M,3.33M,3.23M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,291.51M,286.12M,307.58M,272.29M,256.52M
Net Goodwill,98.04M,94.31M,129.74M,98.53M,92.58M
Net Other Intangibles,193.47M,191.82M,-,-,-
Other Assets,200.39M,224.41M,207.02M,203.47M,204.08M
Total Assets,13.02B,12.61B,12.53B,12.18B,11.79B
Total Assets Growth,-,-3.19%,-0.61%,-2.81%,-3.21%
