Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.78B,2.33B,1.88B,1.21B,1.73B
Cash & Short Term Investments Growth,-,30.89%,-19.22%,-35.87%,43.65%
Cash Only,1.78B,2.33B,1.88B,1.21B,1.73B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,709M,569M,531M,753M,553M
Short Term Receivables Growth,-,-19.75%,-6.68%,41.81%,-26.56%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,120M,120M,-,-
"Net Property, Plant & Equipments",13.61B,13.53B,13.67B,13.5B,13.71B
Other Assets (Including Intangibles),1.56B,1.33B,1.26B,1.45B,1.35B
Other Assets,1.3B,1.07B,1.01B,1.19B,1.1B
Intangible Assets,262M,258M,255M,252M,248M
Total Assets,17.83B,18.09B,17.65B,17.12B,17.58B
Total Assets Growth,-,1.47%,-2.43%,-3.04%,2.71%
Return On Average Assets,-,-,-,-,15.35%
