Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.04B,919.6M,478.5M,435.8M,386.4M
Cash & Short Term Investments Growth,-,-11.78%,-47.97%,-8.92%,-11.34%
Cash Only,1.04B,919.6M,478.5M,435.8M,386.4M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.30%,3.83%,2.04%,2.02%,1.80%
Total Accounts Receivable,1.42B,1.39B,1.4B,1.25B,1.28B
Total Accounts Receivable Growth,-,-2.00%,0.93%,-10.73%,2.22%
"Accounts Receivables, Net",1.42B,1.39B,1.4B,1.25B,1.28B
"Accounts Receivables, Gross",1.42B,1.39B,1.48B,1.25B,1.28B
Bad Debt/Doubtful Accounts,-,-,(74.6M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.43,1.38,1.45,1.33,1.39
Inventories,2.53B,2.52B,2.39B,2.13B,2.12B
Finished Goods,2.02B,2.02B,1.93B,1.7B,1.69B
Work in Progress,229.5M,222.9M,202.1M,200.9M,205.5M
Raw Materials,279.5M,277.4M,263.9M,226.7M,223.4M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,361M,483.4M,607.1M,694.7M,671.7M
Miscellaneous Current Assets,361M,168.7M,277.6M,694.7M,671.7M
Total Current Assets,5.36B,5.31B,4.89B,4.52B,4.46B
"Net Property, Plant & Equipment",2.01B,2.01B,2.29B,1.83B,1.8B
"Property, Plant & Equipment - Gross",6.52B,6.64B,7.01B,6.27B,6.34B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,110M,477.6M,496.7M,471.5M,487.1M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.52B,4.63B,4.72B,4.44B,4.54B
Total Investments and Advances,18.8M,17.6M,27.6M,26.2M,52M
Other Long-Term Investments,18.8M,17.6M,27.6M,26.2M,52M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,15.89B,15.68B,15.49B,14.29B,14.17B
Net Goodwill,9.25B,9.21B,9.19B,8.9B,8.87B
Net Other Intangibles,6.64B,6.47B,-,-,-
Other Assets,952.1M,988.1M,764.1M,961.2M,967.9M
Total Assets,24.22B,24.01B,23.46B,21.62B,21.45B
Total Assets Growth,-,-0.89%,-2.30%,-7.84%,-0.76%
