Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,712M,533M,797M,1.06B,1.24B
Net Income Growth,-,-25.14%,49.53%,33.50%,16.54%
"Depreciation, Depletion & Amortization",243M,247M,245M,257M,257M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,(30M),(58M),(34M),144M,(159M)
Deferred Taxes,(30M),(58M),(34M),144M,(159M)
Investment Tax Credit,-,-,-,-,-
Other Funds,75M,166M,(162M),151M,264M
Funds from Operations,1B,888M,846M,1.62B,1.6B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,1.71B,1.96B,(109M),(2.82B),(1.07B)
Receivables,(195M),(350M),482M,(937M),(1.22B)
Accounts Payable,(582M),1.19B,1.75B,(245M),(465M)
Other Assets/Liabilities,1.1B,1.28B,208M,(122M),(704M)
Net Operating Cash Flow,2.71B,2.85B,737M,(1.21B),531M
Net Operating Cash Flow Growth,-,5.06%,-74.10%,-263.64%,144.03%
Net Operating Cash Flow / Sales,11.79%,14.00%,3.19%,-5.09%,1.95%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(253M),(287M),(455M),(217M),(283M)
Capital Expenditures Growth,-,-13.44%,-58.54%,52.31%,-30.41%
Capital Expenditures / Sales,-1.10%,-1.41%,-1.97%,-0.92%,-1.04%
Capital Expenditures (Fixed Assets),(253M),(287M),(455M),(217M),(283M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(5M),(496M),(1.06B),-,-
Sale of Fixed Assets & Businesses,44M,15M,172M,5M,7M
Purchase/Sale of Investments,(5M),1M,(26M),(36M),(22M)
Purchase of Investments,(4M),1M,(27M),(36M),(22M)
Sale/Maturity of Investments,(1M),-,1M,-,-
Other Uses,(6M),(126M),(5M),(94M),(7M)
Other Sources,-,1M,5M,-,-
Net Investing Cash Flow,(225M),(893M),(1.38B),(342M),(305M)
Net Investing Cash Flow Growth,-,-296.89%,-54.20%,75.16%,10.82%
Net Investing Cash Flow / Sales,-0.98%,-4.39%,-5.96%,-1.44%,-1.12%
