Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,364.6M,336.3M,263.1M,635.6M,331.5M
Funds from Operations Growth,-,-7.76%,-21.77%,141.58%,-47.84%
Changes in Working Capital,37.4M,116.6M,299.8M,(201M),2.2M
Receivables,12.6M,549M,1.26B,(9.83B),2.93B
Inventories,-,-,-,-,-
Accounts Payable,409.2M,(440.7M),(1.14B),9.33B,(2.51B)
Other Assets/Liabilities,(151.1M),(26M),29.4M,120.7M,(29.8M)
Net Operating Cash Flow,402M,452.9M,562.9M,434.6M,333.7M
Net Operating Cash Flow Growth,-,12.66%,24.29%,-22.79%,-23.22%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(32M),(44M),(25.4M),(37.7M),(53.4M)
Capital Expenditures Growth,-,-37.50%,42.27%,-48.43%,-41.64%
Capital Expenditures (Fixed Assets),(32M),(44M),(25.4M),(37.7M),(53.4M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(156M),(80M),(2.62B),(121.7M),(199.6M)
Sale of Fixed Assets & Businesses,4.1M,4.9M,1.4M,1M,2.7M
Purchase/Sale of Investments,(11.5M),(7.6M),(10.3M),(900K),(700K)
Purchase of Investments,(11.5M),(7.6M),(10.3M),(900K),(700K)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(195.4M),(126.7M),(2.72B),(95.1M),(276M)
