Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,2.09B,2.38B,2.63B,5.76B,5.15B
Net Income Growth,-,13.77%,10.42%,119.22%,-10.66%
"Depreciation, Depletion & Amortization",1.87B,1.67B,1.82B,1.83B,1.91B
Depreciation and Depletion,1.87B,1.67B,1.82B,1.83B,1.91B
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,364M,328M,451M,373M,495M
Deferred Taxes,364M,328M,451M,373M,495M
Investment Tax Credit,-,-,-,-,-
Other Funds,(283M),(284M),597M,(937M),287M
Funds from Operations,4.04B,4.1B,5.5B,7.03B,7.83B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,211M,702M,373M,(1.96B),80M
Receivables,(9M),(825M),(881M),(1.54B),(326M)
Accounts Payable,(101M),359M,717M,(204M),839M
Other Assets/Liabilities,359M,1.09B,684M,(245M),(353M)
Net Operating Cash Flow,4.25B,4.8B,5.87B,5.07B,7.91B
Net Operating Cash Flow Growth,-,12.84%,22.33%,-13.63%,56.16%
Net Operating Cash Flow / Sales,44.02%,40.62%,40.51%,27.89%,37.38%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(1.25B),(1.3B),(1.56B),(3.16B),(1.97B)
Capital Expenditures Growth,-,-4.33%,-19.59%,-103.02%,37.74%
Capital Expenditures / Sales,-12.92%,-11.03%,-10.75%,-17.40%,-9.29%
Capital Expenditures (Fixed Assets),(1.25B),(1.3B),(1.56B),(3.16B),(1.97B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(8.29B),-,-
Sale of Fixed Assets & Businesses,160M,632M,479M,2.37B,619M
Purchase/Sale of Investments,1.8B,1.6B,245M,(208M),(841M)
Purchase of Investments,(2.1B),(127M),(118M),(587M),(1.18B)
Sale/Maturity of Investments,3.9B,1.72B,363M,379M,335M
Other Uses,-,(386M),386M,-,(8M)
Other Sources,1M,3M,1M,-,-
Net Investing Cash Flow,734M,532M,(8.6B),(611M),(2.09B)
Net Investing Cash Flow Growth,-,-27.52%,"-1,715.60%",92.89%,-242.23%
Net Investing Cash Flow / Sales,7.60%,4.51%,-59.33%,-3.36%,-9.88%
