Item,31-Mar-2021,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Net Income before Extraordinaries,231.8M,182.4M,93M,97M,141M
Net Income Growth,-,-21.31%,-49.01%,4.30%,45.36%
"Depreciation, Depletion & Amortization",75.9M,73M,81M,98M,99M
Depreciation and Depletion,52.6M,49.3M,58M,64M,66M
Amortization of Intangible Assets,23.3M,23.7M,23M,34M,33M
Deferred Taxes & Investment Tax Credit,23.1M,46.2M,(8M),9M,12M
Deferred Taxes,23.1M,46.2M,(8M),9M,12M
Investment Tax Credit,-,-,-,-,-
Other Funds,(120.5M),21.3M,46M,29M,18M
Funds from Operations,210.3M,322.9M,212M,233M,270M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(135.3M),(188.6M),(49M),(179M),(132M)
Receivables,(88.8M),(184.8M),185M,(54M),(71M)
Accounts Payable,23.2M,13.4M,(6M),9M,(37M)
Other Assets/Liabilities,30M,2.8M,(165M),(49M),(79M)
Net Operating Cash Flow,75M,134.3M,163M,54M,138M
Net Operating Cash Flow Growth,-,79.07%,21.37%,-66.87%,155.56%
Net Operating Cash Flow / Sales,7.12%,11.30%,15.90%,4.44%,10.84%
Item,31-Mar-2021,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Capital Expenditures,(158.2M),(188.9M),(154M),(123M),(148M)
Capital Expenditures Growth,-,-19.41%,18.48%,20.13%,-20.33%
Capital Expenditures / Sales,-15.02%,-15.90%,-15.02%,-10.11%,-11.63%
Capital Expenditures (Fixed Assets),(158.2M),(188.9M),(154M),(123M),(148M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(132.3M),100K,(29M),(994M),(13M)
Sale of Fixed Assets & Businesses,287M,(300K),-,-,-
Purchase/Sale of Investments,(78M),(24M),16M,(15M),(30M)
Purchase of Investments,(78M),(24M),(4M),1M,(26M)
Sale/Maturity of Investments,-,-,20M,(16M),(4M)
Other Uses,-,-,-,-,-
Other Sources,2.5M,3.8M,4M,2M,3M
Net Investing Cash Flow,(81.5M),(213.1M),(167M),(1.13B),(191M)
Net Investing Cash Flow Growth,-,-161.47%,21.63%,-577.84%,83.13%
Net Investing Cash Flow / Sales,-7.74%,-17.94%,-16.29%,-93.02%,-15.00%
