Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,195.11M,256.32M,265.17M,346.45M,309.44M
Funds from Operations Growth,-,31.37%,3.45%,30.65%,-10.68%
Changes in Working Capital,37.7M,68.18M,(36.97M),57.06M,(50.48M)
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,(1.77M),59.49M,(40.4M),40.3M,(51.19M)
Other Assets/Liabilities,39.46M,8.69M,3.43M,16.76M,703K
Net Operating Cash Flow,232.81M,324.5M,228.21M,403.51M,258.96M
Net Operating Cash Flow Growth,-,39.39%,-29.68%,76.82%,-35.82%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(32.32M),(32.02M),(40.13M),(24.92M),(37.66M)
Capital Expenditures Growth,-,0.94%,-25.34%,37.91%,-51.14%
Capital Expenditures (Fixed Assets),(32.32M),(32.02M),(40.13M),(24.92M),(37.66M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(5.87M),(6.74M),(50K),(26K),(2.57M)
Sale of Fixed Assets & Businesses,-,-,(1.9M),125K,-
Purchase/Sale of Investments,(119.22M),(103.34M),(24.07B),48.5M,(21.01M)
Purchase of Investments,(155.62M),(209.99M),(24.08B),(249.75M),(55.87M)
Sale/Maturity of Investments,36.4M,106.65M,17.24M,298.25M,34.86M
Other Uses,(968K),(7.39M),(1.13M),(6.32M),(10M)
Other Sources,4K,474K,288K,88K,47K
Net Investing Cash Flow,(158.38M),(149.01M),(24.11B),17.45M,(71.19M)
