Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Net Income before Extraordinaries,100.68M,101.06M,107.65M,109.94M,74.91M
Net Income Growth,-,0.38%,6.52%,2.13%,-31.86%
"Depreciation, Depletion & Amortization",27.95M,26.9M,30.55M,24.45M,38.11M
Depreciation and Depletion,22.21M,20.99M,24.5M,18.16M,9.86M
Amortization of Intangible Assets,5.74M,5.9M,6.05M,6.29M,28.26M
Deferred Taxes & Investment Tax Credit,531K,(2.33M),1.51M,(4.77M),(2.22M)
Deferred Taxes,531K,(2.33M),1.51M,(4.77M),(2.22M)
Investment Tax Credit,-,-,-,-,-
Other Funds,11.03M,11.71M,10.4M,29.52M,63.67M
Funds from Operations,140.19M,137.34M,150.1M,159.14M,174.46M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,10.73M,59.24M,(66.67M),(23.76M),29.61M
Receivables,8.63M,10.44M,(5.27M),(32.44M),(1.3M)
Accounts Payable,(988K),3.78M,20.7M,(10.52M),5.11M
Other Assets/Liabilities,1.21M,(5.4M),(19.12M),12.71M,11.84M
Net Operating Cash Flow,150.92M,196.57M,83.44M,135.38M,204.07M
Net Operating Cash Flow Growth,-,30.25%,-57.55%,62.25%,50.74%
Net Operating Cash Flow / Sales,37.77%,47.72%,19.65%,31.40%,41.75%
Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Capital Expenditures,(18.66M),(13.91M),(8.58M),(11.96M),(15.4M)
Capital Expenditures Growth,-,25.43%,38.30%,-39.38%,-28.76%
Capital Expenditures / Sales,-4.67%,-3.38%,-2.02%,-2.77%,-3.15%
Capital Expenditures (Fixed Assets),(18.66M),(13.91M),(8.58M),(11.96M),(15.4M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(16.14M),(50.02M),-,(1.93B)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,(17.54M),(250K),-,(428K)
Purchase of Investments,-,(17.54M),(250K),-,(428K)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(18.66M),(47.59M),(58.85M),(11.96M),(1.95B)
Net Investing Cash Flow Growth,-,-155.08%,-23.67%,79.67%,"-16,178.99%"
Net Investing Cash Flow / Sales,-4.67%,-11.55%,-13.86%,-2.77%,-398.46%
