Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,434M,864M,107M,360M,511M
Net Income Growth,-,99.08%,-87.62%,236.45%,41.94%
"Depreciation, Depletion & Amortization",306M,318M,164M,261M,267M
Depreciation and Depletion,295M,306M,155M,250M,256M
Amortization of Intangible Assets,11M,12M,9M,11M,11M
Deferred Taxes & Investment Tax Credit,(15M),(156M),(140M),30M,(35M)
Deferred Taxes,(15M),(156M),(140M),30M,(35M)
Investment Tax Credit,-,-,-,-,-
Other Funds,93M,(471M),364M,88M,(105M)
Funds from Operations,818M,555M,495M,739M,638M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(52M),90M,(388M),(151M),(248M)
Receivables,(289M),(26M),(12M),(260M),(145M)
Accounts Payable,299M,349M,(197M),89M,110M
Other Assets/Liabilities,(62M),(1M),(8M),(36M),(27M)
Net Operating Cash Flow,766M,645M,107M,588M,390M
Net Operating Cash Flow Growth,-,-15.80%,-83.41%,449.53%,-33.67%
Net Operating Cash Flow / Sales,13.64%,11.29%,2.10%,11.23%,7.24%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(133M),(126M),(201M),(185M),(186M)
Capital Expenditures Growth,-,5.26%,-59.52%,7.96%,-0.54%
Capital Expenditures / Sales,-2.37%,-2.21%,-3.95%,-3.53%,-3.45%
Capital Expenditures (Fixed Assets),(133M),(126M),(201M),(185M),(186M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(19M),-,-,-,-
Sale of Fixed Assets & Businesses,79M,832M,6M,5M,6M
Purchase/Sale of Investments,403M,4.89B,65M,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,403M,4.89B,65M,-,-
Other Uses,(2M),(1M),-,-,(1M)
Other Sources,-,27M,36M,-,-
Net Investing Cash Flow,328M,5.6B,(130M),(180M),(37M)
Net Investing Cash Flow Growth,-,"1,606.71%",-102.32%,-38.46%,79.44%
Net Investing Cash Flow / Sales,5.84%,97.97%,-2.56%,-3.44%,-0.69%
