Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,6.28B,3.67B,4.74B,5.15B,4.81B
Net Income Growth,-,-41.59%,29.15%,8.72%,-6.51%
"Depreciation, Depletion & Amortization",1.84B,1.81B,1.84B,1.77B,1.74B
Depreciation and Depletion,639M,614M,743M,669M,644M
Amortization of Intangible Assets,1.2B,1.2B,1.1B,1.1B,1.1B
Deferred Taxes & Investment Tax Credit,45M,(1.88B),485M,(926M),(1.42B)
Deferred Taxes,45M,(1.88B),485M,(926M),(1.42B)
Investment Tax Credit,-,-,-,-,-
Other Funds,306M,1.19B,236M,726M,449M
Funds from Operations,8.47B,4.79B,7.3B,6.72B,5.58B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(3.15B),3.5B,(1.57B),(2.74B),(3M)
Receivables,38M,(252M),(584M),(427M),(959M)
Accounts Payable,(1.71B),4.23B,2.26B,(2.82B),1.65B
Other Assets/Liabilities,(1.36B),(121M),(3.17B),1.11B,(34M)
Net Operating Cash Flow,5.31B,8.29B,5.73B,3.98B,5.58B
Net Operating Cash Flow Growth,-,56.00%,-30.86%,-30.58%,40.26%
Net Operating Cash Flow / Sales,22.81%,35.52%,23.10%,16.97%,23.22%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(813M),(747M),(1.42B),(607M),(863M)
Capital Expenditures Growth,-,8.12%,-89.42%,57.10%,-42.17%
Capital Expenditures / Sales,-3.49%,-3.20%,-5.70%,-2.59%,-3.59%
Capital Expenditures (Fixed Assets),(813M),(747M),(1.42B),(607M),(863M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(60M),(252M),(271M)
Sale of Fixed Assets & Businesses,51M,12M,45M,248M,66M
Purchase/Sale of Investments,950M,(2.22B),(3.35B),(2.72B),(1.7B)
Purchase of Investments,(6.27B),(6.58B),(11.55B),(9.02B),(13.03B)
Sale/Maturity of Investments,7.22B,4.36B,8.2B,6.3B,11.33B
Other Uses,(297M),(16M),(94M),(308M),128M
Other Sources,1M,56M,126M,-,813M
Net Investing Cash Flow,(419M),(2.72B),(5.36B),(3.63B),(2.64B)
Net Investing Cash Flow Growth,-,-548.93%,-97.13%,32.20%,27.38%
Net Investing Cash Flow / Sales,-1.80%,-11.65%,-21.60%,-15.50%,-10.98%
