Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,385M,305M,434M,424M,326M
Net Income Growth,-,-20.78%,42.30%,-2.30%,-23.11%
"Depreciation, Depletion & Amortization",120M,114M,121M,119M,119M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,33M,(46M),121M,42M,(10M)
Deferred Taxes,33M,(46M),121M,42M,(10M)
Investment Tax Credit,-,-,-,-,-
Other Funds,(68M),(1M),(282M),(36M),(70M)
Funds from Operations,470M,372M,394M,549M,365M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(18M),86M,162M,(222M),113M
Receivables,17M,(58M),187M,(184M),(159M)
Accounts Payable,21M,59M,(4M),207M,261M
Other Assets/Liabilities,(17M),99M,11M,(85M),157M
Net Operating Cash Flow,452M,458M,556M,327M,478M
Net Operating Cash Flow Growth,-,1.33%,21.40%,-41.19%,46.18%
Net Operating Cash Flow / Sales,12.71%,12.64%,16.25%,8.91%,12.37%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(128M),(107M),(145M),(138M),(129M)
Capital Expenditures Growth,-,16.41%,-35.51%,4.83%,6.52%
Capital Expenditures / Sales,-3.60%,-2.95%,-4.24%,-3.76%,-3.34%
Capital Expenditures (Fixed Assets),(128M),(107M),(145M),(138M),(129M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(3M),13M,(2M),(1M),-
Purchase of Investments,(4M),(50M),(5M),(2M),(8M)
Sale/Maturity of Investments,1M,63M,3M,1M,8M
Other Uses,(10M),39M,8M,(10M),(93M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(141M),(55M),(143M),(112M),(206M)
Net Investing Cash Flow Growth,-,60.99%,-160.00%,21.68%,-83.93%
Net Investing Cash Flow / Sales,-3.97%,-1.52%,-4.18%,-3.05%,-5.33%
