Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,249.49M,281.02M,216.73M,179.72M,284.54M
Funds from Operations Growth,-,12.64%,-22.88%,-17.08%,58.33%
Changes in Working Capital,-,-,-,-,-
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,-,-,-,-,-
Net Operating Cash Flow,249.49M,281.02M,216.73M,179.72M,284.54M
Net Operating Cash Flow Growth,-,12.64%,-22.88%,-17.08%,58.33%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(134.03M),(140.83M),108.74M,(38.21M),(94.64M)
Capital Expenditures Growth,-,-5.07%,177.21%,-135.14%,-147.66%
Capital Expenditures (Fixed Assets),(134.03M),(140.83M),108.74M,(38.21M),(94.64M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,(43.07M),-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,113.72M,3.62M,(92.68M),(45.42M),99.44M
Purchase of Investments,(47.14M),(857K),(234.34M),(55.51M),(55.66M)
Sale/Maturity of Investments,160.86M,4.48M,141.66M,10.1M,155.1M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,20.68M
Net Investing Cash Flow,(20.32M),(137.21M),16.06M,(126.7M),25.48M
