Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,-,-,-,-,-
Funds from Operations Growth,-,-,-,-,-
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,2.25B,3.51B,5.57B,1.95B,4.44B
Net Operating Cash Flow Growth,-,55.55%,58.90%,-64.93%,127.12%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,-,-,-,-,-
Capital Expenditures Growth,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,3.33B,-,(59M),-,590M
Purchase/Sale of Investments,(1.89B),(7.86B),(2.48B),315M,2.82B
Purchase of Investments,(27.28B),(31.95B),(34.66B),(28.18B),(29.74B)
Sale/Maturity of Investments,25.38B,24.1B,32.17B,28.5B,32.56B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,(820M),(1.23B),(1.2B),(1.91B),(2.64B)
Other Sources,394M,805M,879M,1.17B,1.34B
Net Investing Cash Flow,1.01B,(8.28B),(2.86B),(426M),2.12B
Net Investing Cash Flow Growth,-,-920.61%,65.43%,85.12%,596.48%
