Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,225.8M,254.6M,156.9M,24.5M,353.2M
Net Income Growth,-,12.75%,-38.37%,-84.38%,"1,341.63%"
"Depreciation, Depletion & Amortization",107.9M,113.5M,131.7M,128.2M,128.4M
Depreciation and Depletion,106.1M,94M,121.8M,113.6M,114M
Amortization of Intangible Assets,1.8M,19.5M,9.9M,14.6M,14.4M
Deferred Taxes & Investment Tax Credit,8.1M,22.3M,66.5M,5.2M,(37.9M)
Deferred Taxes,8.1M,22.3M,66.5M,5.2M,(37.9M)
Investment Tax Credit,-,-,-,-,-
Other Funds,(8.1M),3.8M,8.3M,5M,(147.8M)
Funds from Operations,333.7M,394.2M,363.4M,162.9M,295.9M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(84.4M),(55.1M),(6M),7M,(179.6M)
Receivables,(149.3M),(80.2M),23.6M,14.8M,(267.4M)
Accounts Payable,29.7M,12.2M,42.9M,95.5M,(27M)
Other Assets/Liabilities,17.3M,(15.3M),(80.6M),(74.4M),165.4M
Net Operating Cash Flow,249.3M,339.1M,357.4M,169.9M,116.3M
Net Operating Cash Flow Growth,-,36.02%,5.40%,-52.46%,-31.55%
Net Operating Cash Flow / Sales,18.09%,21.77%,23.88%,13.80%,7.08%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(102.7M),(108.3M),(101.8M),(139.8M),(80.9M)
Capital Expenditures Growth,-,-5.45%,6.00%,-37.33%,42.13%
Capital Expenditures / Sales,-7.45%,-6.95%,-6.80%,-11.36%,-4.93%
Capital Expenditures (Fixed Assets),(102.7M),(108.3M),(101.8M),(139.8M),(80.9M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(653.2M),(139.7M),(2.32B),18.8M,(18.8M)
Sale of Fixed Assets & Businesses,19.7M,9.5M,1.4M,1M,654.4M
Purchase/Sale of Investments,1.4M,2.7M,1M,-,1.8M
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,1.4M,2.7M,1M,-,1.8M
Other Uses,-,-,-,(3M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(734.8M),(235.8M),(2.42B),(123M),556.5M
Net Investing Cash Flow Growth,-,67.91%,-924.47%,94.91%,552.44%
Net Investing Cash Flow / Sales,-53.33%,-15.14%,-161.43%,-9.99%,33.90%
