Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,403.76M,337.21M,321.31M,294.2M,273.36M
Net Income Growth,-,-16.48%,-4.71%,-8.44%,-7.08%
"Depreciation, Depletion & Amortization",13.71M,13.23M,13.55M,14.6M,19.06M
Depreciation and Depletion,-,-,12.45M,13.1M,17.06M
Amortization of Intangible Assets,-,-,1.1M,1.5M,2M
Deferred Taxes & Investment Tax Credit,353K,-,16.08M,1.48M,20.45M
Deferred Taxes,353K,-,16.08M,1.48M,20.45M
Investment Tax Credit,-,-,-,-,-
Other Funds,16.6M,16.54M,18.06M,16.33M,16.21M
Funds from Operations,434.42M,366.97M,369M,326.61M,329.08M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(23.31M),(25.57M),(141.24M),(326.96M),(198.07M)
Receivables,(92.09M),40.06M,(54.75M),(134.43M),(154.8M)
Accounts Payable,26.76M,42.95M,7.73M,18.33M,67.17M
Other Assets/Liabilities,(5.77M),(29.66M),3.31M,(42.02M),(27.18M)
Net Operating Cash Flow,411.11M,341.4M,227.76M,(351K),131.01M
Net Operating Cash Flow Growth,-,-16.96%,-33.29%,-100.15%,"37,425.93%"
Net Operating Cash Flow / Sales,28.12%,24.20%,15.98%,-0.02%,7.92%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(12.19M),(9.47M),(12.66M),(36.17M),(85.91M)
Capital Expenditures Growth,-,22.33%,-33.67%,-185.82%,-137.50%
Capital Expenditures / Sales,-0.83%,-0.67%,-0.89%,-2.38%,-5.19%
Capital Expenditures (Fixed Assets),(7.12M),(12.61M),(15.74M),(21.51M),(77.94M)
Capital Expenditures (Other Assets),(5.07M),3.14M,3.08M,(14.66M),(7.97M)
Net Assets from Acquisitions,-,-,-,(330.36M),884K
Sale of Fixed Assets & Businesses,793K,222K,82K,14K,358K
Purchase/Sale of Investments,(19.68M),(192.29M),(597.75M),62.88M,382.56M
Purchase of Investments,(354.9M),(547.88M),(1.07B),(441.93M),(522.34M)
Sale/Maturity of Investments,335.21M,355.59M,472.04M,504.81M,904.9M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(31.08M),(201.54M),(610.32M),(303.63M),297.89M
Net Investing Cash Flow Growth,-,-548.47%,-202.83%,50.25%,198.11%
Net Investing Cash Flow / Sales,-2.13%,-14.29%,-42.83%,-19.99%,18.00%
