Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,226M,173M,194M,340M,304M
Funds from Operations Growth,-,-23.45%,12.14%,75.26%,-10.59%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,493M,461M,597M,363M,368M
Net Operating Cash Flow Growth,-,-6.49%,29.50%,-39.20%,1.38%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(13M),(27M),(21M),(23M),(27M)
Capital Expenditures Growth,-,-107.69%,22.22%,-9.52%,-17.39%
Capital Expenditures (Fixed Assets),(13M),(27M),(21M),(23M),(27M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(129M),-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(304M),(669M),(331M),110M,(644M)
Purchase of Investments,(618M),(1.01B),(695M),(403M),(1.01B)
Sale/Maturity of Investments,314M,343M,364M,513M,366M
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,(63M),(13M),6M
Other Sources,(4M),(2M),(3M),-,-
Net Investing Cash Flow,(321M),(698M),(547M),74M,(665M)
Net Investing Cash Flow Growth,-,-117.45%,21.63%,113.53%,-998.65%
