Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,(132.8M),731.7M,703.2M,955.2M,277.2M
Funds from Operations Growth,-,650.98%,-3.90%,35.84%,-70.98%
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(1.1B),(249.9M),1.34B,(208.3M),(1.89B)
Net Operating Cash Flow,(1.24B),481.8M,2.04B,746.9M,(1.61B)
Net Operating Cash Flow Growth,-,138.98%,323.81%,-63.42%,-315.66%
Net Operating Cash Flow / Interest Income,-360.24%,137.15%,563.75%,194.76%,-306.94%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(102.9M),(135.3M),(171.4M),(149M),(668.2M)
Capital Expenditures (Fixed Assets),(28.4M),(25.9M),(30.5M),(25.8M),(21.4M)
Capital Expenditures (Other Assets),(74.5M),(109.4M),(140.9M),(123.2M),(646.8M)
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,1.69B,(625.7M),(2.96B),1.77B,873.2M
Purchase of Investments,(15.42B),(15.57B),(17.96B),(14.04B),(10.25B)
Sale/Maturity of Investments,17.11B,14.95B,15B,15.8B,11.12B
Increase in Loans,(2.29B),(2.07B),(10.99B),(843.9M),(565.9M)
Decrease in Loans,(6.83B),4.52B,(3.72B),9.73B,15.56B
Other Uses,46.4M,43.6M,(151M),(179.3M),(303.7M)
Other Sources,-,682.9M,-,-,-
Net Investing Cash Flow,(7.37B),2.42B,(18.79B),10.33B,14.9B
Net Investing Cash Flow Growth,-,132.86%,-876.49%,154.95%,44.30%
Net Investing Cash Flow / Interest Income,"-2,146.69%",688.87%,"-5,188.02%","2,692.46%","2,839.21%"
