Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,409.93M,501.2M,568.04M,666M,648.65M
Net Income Growth,-,22.26%,13.34%,17.25%,-2.61%
"Depreciation, Depletion & Amortization",308.3M,287.37M,283.73M,310M,301.03M
Depreciation and Depletion,136.36M,131.1M,133.37M,142M,141.59M
Amortization of Intangible Assets,171.93M,156.27M,150.36M,168M,159.44M
Deferred Taxes & Investment Tax Credit,61.22K,(6.16M),(25.24M),(33M),(62.5M)
Deferred Taxes,61.22K,(6.16M),(25.24M),(33M),(62.5M)
Investment Tax Credit,-,-,-,-,-
Other Funds,102.98M,70.68M,103.77M,77M,109.14M
Funds from Operations,821.27M,853.09M,930.3M,1.02B,996.31M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(178.29M),27.01M,(209.82M),(164M),(219.97M)
Receivables,(136.17M),20.62M,40.36M,(61M),(47.17M)
Accounts Payable,73.63M,113.47M,1.72M,266M,(2.88M)
Other Assets/Liabilities,(55.31M),(52.82M),(238.84M),(247M),(25.87M)
Net Operating Cash Flow,642.98M,880.1M,720.48M,856M,776.35M
Net Operating Cash Flow Growth,-,36.88%,-18.14%,18.81%,-9.31%
Net Operating Cash Flow / Sales,24.77%,30.76%,23.71%,27.30%,23.44%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(186.9M),(230.21M),(297.16M),(328M),(281.08M)
Capital Expenditures Growth,-,-23.18%,-29.08%,-10.38%,14.30%
Capital Expenditures / Sales,-7.20%,-8.05%,-9.78%,-10.46%,-8.49%
Capital Expenditures (Fixed Assets),(151.53M),(205.17M),(266.92M),(285M),(253.92M)
Capital Expenditures (Other Assets),(35.37M),(25.04M),(30.24M),(43M),(27.17M)
Net Assets from Acquisitions,(1.01M),(15.72M),(5.52M),(4M),(872.68K)
Sale of Fixed Assets & Businesses,-,983.89K,(16.86K),1M,(25.47K)
Purchase/Sale of Investments,(2.98M),1.9M,4.75M,2M,9.69M
Purchase of Investments,(4.03M),127.25K,(1.83M),-,(1.95M)
Sale/Maturity of Investments,1.05M,1.78M,6.58M,2M,11.64M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(190.89M),(236.16M),(295.16M),(329M),(272.29M)
Net Investing Cash Flow Growth,-,-23.72%,-24.99%,-11.46%,17.24%
Net Investing Cash Flow / Sales,-7.35%,-8.25%,-9.71%,-10.49%,-8.22%
