Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Net Income before Extraordinaries,4.03B,2.46B,(1.25B),2.32B,3.19B
Net Income Growth,-,-39.06%,-150.79%,285.82%,37.52%
"Depreciation, Depletion & Amortization",752M,757M,759M,775M,831M
Depreciation and Depletion,410M,454M,459M,496M,563M
Amortization of Intangible Assets,342M,303M,300M,279M,268M
Deferred Taxes & Investment Tax Credit,50M,(15M),(805M),(163M),(163M)
Deferred Taxes,50M,(15M),(805M),(163M),(163M)
Investment Tax Credit,-,-,-,-,-
Other Funds,368M,518M,532M,932M,851M
Funds from Operations,5.2B,3.72B,(762M),3.86B,4.71B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(360M),1.67B,(2.92B),(18M),(723M)
Receivables,(948M),852M,(63M),(137M),(1.53B)
Accounts Payable,224M,(713M),(205M),235M,(50M)
Other Assets/Liabilities,668M,1.76B,(2.02B),(304M),590M
Net Operating Cash Flow,4.84B,5.39B,(3.68B),3.85B,3.99B
Net Operating Cash Flow Growth,-,11.34%,-168.30%,204.43%,3.64%
Net Operating Cash Flow / Sales,43.13%,55.42%,-35.54%,36.57%,33.66%
Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Capital Expenditures,(717M),(1.06B),(925M),(1.1B),(1.42B)
Capital Expenditures Growth,-,-48.12%,12.90%,-19.03%,-29.25%
Capital Expenditures / Sales,-6.39%,-10.92%,-8.93%,-10.47%,-12.02%
Capital Expenditures (Fixed Assets),(717M),(1.06B),(925M),(1.1B),(1.42B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(12M),(50M),-,(82M),(16M)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(3.18B),331M,11.66B,3.62B,278M
Purchase of Investments,(11.21B),(7.67B),(1.96B),(503M),(138M)
Sale/Maturity of Investments,8.03B,8B,13.62B,4.12B,416M
Other Uses,-,-,-,-,-
Other Sources,(45M),-,-,-,-
Net Investing Cash Flow,(3.91B),(781M),10.73B,2.43B,(1.16B)
Net Investing Cash Flow Growth,-,80.03%,"1,473.88%",-77.33%,-147.74%
Net Investing Cash Flow / Sales,-34.84%,-8.03%,103.57%,23.13%,-9.81%
