Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,-,-,-,-,-
Funds from Operations Growth,-,-,-,-,-
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,992.8M,973.4M,1.11B,31.5M,807.2M
Net Operating Cash Flow Growth,-,-1.95%,14.22%,-97.17%,"2,462.54%"
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(22.9M),(63.1M),(21M),(25.4M),(26.3M)
Capital Expenditures Growth,-,-175.55%,66.72%,-20.95%,-3.54%
Capital Expenditures (Fixed Assets),(22.9M),(63.1M),(21M),(25.4M),(26.3M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(5.8M),(1.8M),-,(6.7M),-
Sale of Fixed Assets & Businesses,-,-,27M,-,-
Purchase/Sale of Investments,99.3M,(1.86B),(2.8B),152.2M,(198.4M)
Purchase of Investments,(4.73B),(5.49B),(6.71B),(6.73B),(7.58B)
Sale/Maturity of Investments,4.83B,3.63B,3.91B,6.88B,7.38B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,70.6M,(1.93B),(2.79B),120.1M,(224.7M)
Net Investing Cash Flow Growth,-,"-2,828.47%",-44.88%,104.30%,-287.09%
