Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,(1.35B),(1.42B),(1.36B),(1.17B),(521.58M)
Net Income Growth,-,-5.74%,4.74%,13.99%,55.31%
"Depreciation, Depletion & Amortization",323.44M,325.91M,333.37M,339.47M,351.54M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,(4.89M),(22.95M),(11.58M),(3.07M),(6.14M)
Deferred Taxes,(4.89M),(22.95M),(11.58M),(3.07M),(6.14M)
Investment Tax Credit,-,-,-,-,-
Other Funds,149.85M,254.16M,119.29M,108.13M,107.45M
Funds from Operations,(878.86M),(867.44M),(915.9M),(722.61M),(68.73M)
Extraordinaries,-,-,-,-,-
Changes in Working Capital,418.49M,464.22M,710.85M,193.76M,547.37M
Receivables,(108.17M),(44.97M),43.83M,(32.24M),(169.37M)
Accounts Payable,45.57M,69.14M,81.3M,112.43M,109.32M
Other Assets/Liabilities,450.08M,353.81M,349.19M,261.88M,521.18M
Net Operating Cash Flow,(460.37M),(403.22M),(205.05M),(528.85M),478.64M
Net Operating Cash Flow Growth,-,12.42%,49.15%,-157.92%,190.51%
Net Operating Cash Flow / Sales,-904.21%,-88.24%,-20.88%,-49.93%,21.91%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(224.48M),(368.1M),(575.43M),(1.36B),(954.66M)
Capital Expenditures Growth,-,-63.97%,-56.33%,-136.88%,29.96%
Capital Expenditures / Sales,-440.91%,-80.55%,-58.58%,-128.69%,-43.71%
Capital Expenditures (Fixed Assets),(224.48M),(368.1M),(575.43M),(1.36B),(954.66M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,600K,65K,10K
Purchase/Sale of Investments,7.89M,5.52M,5.54M,4.44M,3.64M
Purchase of Investments,285K,-,(144K),-,(614K)
Sale/Maturity of Investments,7.61M,5.52M,5.69M,4.44M,4.26M
Other Uses,(6.76M),(30.34M),(32.21M),(90.21M),(174.83M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(216.12M),(376.56M),(584.51M),(1.44B),(1.08B)
Net Investing Cash Flow Growth,-,-74.24%,-55.22%,-146.90%,24.86%
Net Investing Cash Flow / Sales,-424.47%,-82.41%,-59.51%,-136.24%,-49.65%
