Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,286.3M,207.4M,199.9M,287.6M,173.8M
Net Income Growth,-,-27.56%,-3.62%,43.87%,-39.57%
"Depreciation, Depletion & Amortization",161.1M,154.6M,157.1M,159.1M,150.9M
Depreciation and Depletion,14.5M,9M,11.5M,11M,7.7M
Amortization of Intangible Assets,146.6M,145.6M,145.6M,148.1M,143.2M
Deferred Taxes & Investment Tax Credit,-,-,-,-,-
Deferred Taxes,-,-,-,-,-
Investment Tax Credit,-,-,-,-,-
Other Funds,112.9M,222.6M,233.5M,119.5M,184.8M
Funds from Operations,560.3M,584.6M,590.5M,566.2M,509.5M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(134.8M),(137.3M),(11M),(90.9M),(573.7M)
Receivables,(16.8M),(66.4M),(84.5M),66.6M,(36.1M)
Accounts Payable,63.9M,19.3M,29.5M,17.9M,13M
Other Assets/Liabilities,(41.9M),(4.3M),126.7M,4.8M,14.9M
Net Operating Cash Flow,425.5M,447.3M,579.5M,475.3M,(64.2M)
Net Operating Cash Flow Growth,-,5.12%,29.56%,-17.98%,-113.51%
Net Operating Cash Flow / Sales,26.80%,30.58%,38.32%,31.13%,-4.90%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(16.2M),(12.3M),(17.8M),(14.6M),(14.1M)
Capital Expenditures Growth,-,24.07%,-44.72%,17.98%,3.42%
Capital Expenditures / Sales,-1.02%,-0.84%,-1.18%,-0.96%,-1.08%
Capital Expenditures (Fixed Assets),(8.1M),(5.3M),(10.4M),(7.1M),(6.6M)
Capital Expenditures (Other Assets),(8.1M),(7M),(7.4M),(7.5M),(7.5M)
Net Assets from Acquisitions,(15.5M),(3.9M),(197.5M),(53.2M),(205.7M)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(1.2M),(4M),(800K),(200K),(3.1M)
Other Sources,-,300K,(300K),-,-
Net Investing Cash Flow,(32.9M),(20.2M),(100.5M),2.94B,(233.2M)
Net Investing Cash Flow Growth,-,38.60%,-397.52%,"3,023.58%",-107.94%
Net Investing Cash Flow / Sales,-2.07%,-1.38%,-6.65%,192.47%,-17.79%
