Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Net Income before Extraordinaries,183M,1.82B,1.49B,1.54B,1.01B
Net Income Growth,-,892.90%,-18.11%,3.76%,-34.65%
"Depreciation, Depletion & Amortization",650M,633M,652M,690M,679M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,112M,(27M),90M,289M,115M
Deferred Taxes,-,(27M),90M,289M,115M
Investment Tax Credit,-,-,-,-,-
Other Funds,95M,96M,60M,90M,135M
Funds from Operations,1.04B,2.52B,2.29B,2.61B,1.94B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,307M,(236M),(115M),415M,(3.33B)
Receivables,-,-,-,-,-
Accounts Payable,-,894M,3.6B,(656M),(1.56B)
Other Assets/Liabilities,-,8M,(120M),39M,(86M)
Net Operating Cash Flow,-,2.28B,2.18B,3.03B,(1.39B)
Net Operating Cash Flow Growth,-,-,-4.73%,39.22%,-146.04%
Net Operating Cash Flow / Sales,-,9.07%,8.48%,9.77%,-5.54%
Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Capital Expenditures,-,(798M),(1.15B),(1.06B),(952M)
Capital Expenditures Growth,-,-,-43.48%,7.34%,10.27%
Capital Expenditures / Sales,-,-3.17%,-4.46%,-3.42%,-3.78%
Capital Expenditures (Fixed Assets),-,(798M),(1.15B),(1.06B),(952M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,2M,3M,8M,4M,2M
Purchase/Sale of Investments,-,(12M),19M,(7M),2M
Purchase of Investments,-,(5M),5M,-,-
Sale/Maturity of Investments,-,(7M),14M,(7M),2M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,-,(807M),(1.12B),(1.06B),(948M)
Net Investing Cash Flow Growth,-,-,-38.54%,4.83%,10.90%
Net Investing Cash Flow / Sales,-,-3.21%,-4.36%,-3.43%,-3.77%
