Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,1.93B,1.95B,2.14B,2.2B,2.29B
Net Income Growth,-,0.83%,9.81%,2.95%,4.09%
"Depreciation, Depletion & Amortization",247M,253M,213M,214M,240M
Depreciation and Depletion,184M,192M,200M,200M,227M
Amortization of Intangible Assets,63M,61M,13M,14M,13M
Deferred Taxes & Investment Tax Credit,(1M),12M,(4M),(1M),(14M)
Deferred Taxes,(1M),12M,(4M),(1M),(14M)
Investment Tax Credit,-,-,-,-,-
Other Funds,66M,47M,-,72M,84M
Funds from Operations,2.24B,2.26B,2.35B,2.49B,2.6B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(122M),169M,10M,(342M),(833M)
Receivables,(7M),(62M),(48M),(94M),(395M)
Accounts Payable,(17M),35M,(54M),11M,19M
Other Assets/Liabilities,(104M),84M,15M,(5M),(173M)
Net Operating Cash Flow,2.12B,2.43B,2.36B,2.14B,1.77B
Net Operating Cash Flow Growth,-,14.47%,-2.92%,-9.04%,-17.54%
Net Operating Cash Flow / Sales,46.31%,52.29%,48.78%,43.71%,33.92%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(386M),(486M),(1.28B),(443M),(597M)
Capital Expenditures Growth,-,-25.91%,-163.79%,65.44%,-34.76%
Capital Expenditures / Sales,-8.43%,-10.47%,-26.53%,-9.03%,-11.45%
Capital Expenditures (Fixed Assets),(386M),(486M),(1.28B),(443M),(597M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,3M,3M,68M,2M,1M
Purchase/Sale of Investments,503M,(378M),(989M),(1.21B),1.74B
Purchase of Investments,(1.95B),(1.69B),(3.7B),(3.99B),(2.46B)
Sale/Maturity of Investments,2.46B,1.32B,2.71B,2.77B,4.2B
Other Uses,7M,(23M),(26M),(13M),13M
Other Sources,-,-,-,-,-
Net Investing Cash Flow,127M,(884M),(2.23B),(1.67B),1.23B
Net Investing Cash Flow Growth,-,-796.06%,-152.15%,25.17%,173.44%
Net Investing Cash Flow / Sales,2.77%,-19.04%,-46.13%,-34.01%,23.50%
