Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,13.96B,14.34B,14.89B,13.54B,14.58B
Sales Growth,-,2.74%,3.79%,-9.06%,7.72%
Cost of Goods Sold (COGS) incl. D&A,4.48B,4.32B,4.25B,4.03B,4.16B
COGS Growth,-,-3.57%,-1.48%,-5.24%,3.30%
COGS excluding D&A,2.28B,2.19B,2.27B,1.98B,2.16B
Depreciation & Amortization Expense,2.2B,2.12B,1.98B,2.05B,2B
Depreciation,201M,223M,173M,198M,203M
Amortization of Intangibles,2B,1.9B,1.81B,1.86B,1.8B
Gross Income,9.48B,10.03B,10.63B,9.51B,10.42B
Gross Income Growth,-,5.73%,6.06%,-10.58%,9.59%
Gross Profit Margin,-,-,-,-,71.46%
SG&A Expense,4.86B,4.62B,5.32B,4.49B,4.81B
SGA Growth,-,-4.88%,15.20%,-15.65%,7.13%
Research & Development,1.78B,1.66B,1.81B,1.49B,1.61B
Other SG&A,3.07B,2.96B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,2.24B,696M,491M,(395M),4.23B
EBIT after Unusual Expense,(2.24B),(696M),(491M),395M,(4.23B)
Non Operating Income/Expense,(613M),(431M),32M,70M,362M
Non-Operating Interest Income,9M,11M,9M,9M,24M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,619M,603M,592M,566M,585M
Interest Expense Growth,-,-2.58%,-1.82%,-4.39%,3.36%
Gross Interest Expense,619M,603M,592M,566M,585M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.16B,3.69B,4.27B,4.93B,1.18B
Pretax Income Growth,-,217.11%,15.81%,15.41%,-76.00%
Pretax Margin,-,-,-,-,8.11%
Income Tax,394M,508M,226M,436M,255M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(17M),(21M),(21M),(22M),(11M)
Consolidated Net Income,752M,3.16B,4.02B,4.47B,917M
Minority Interest Expense,3M,1M,1M,3M,4M
Net Income,749M,3.16B,4.02B,4.47B,913M
Net Income Growth,-,321.63%,27.39%,11.06%,-79.57%
Net Margin Growth,-,-,-,-,6.26%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,749M,3.16B,4.02B,4.47B,913M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,749M,3.16B,4.02B,4.47B,913M
EPS (Basic),0.42,1.78,2.28,2.52,0.52
EPS (Basic) Growth,-,321.40%,27.51%,10.90%,-79.56%
Basic Shares Outstanding,1.77B,1.77B,1.77B,1.77B,1.77B
EPS (Diluted),0.42,1.78,2.26,2.51,0.51
EPS (Diluted) Growth,-,321.44%,27.31%,11.06%,-79.54%
Diluted Shares Outstanding,1.78B,1.78B,1.78B,1.78B,1.78B
EBITDA,6.83B,7.53B,7.29B,7.07B,7.62B
EBITDA Growth,-,10.28%,-3.16%,-2.99%,7.66%
EBITDA Margin,-,-,-,-,52.23%
