Item,01-Jan-0001,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Sales/Revenue,1.74B,1.57B,1.19B,1.26B,1.52B
Sales Growth,-,-9.68%,-23.98%,5.34%,21.45%
Cost of Goods Sold (COGS) incl. D&A,-,1.02B,914.1M,978.4M,1.08B
COGS Growth,-,-,-10.09%,7.03%,10.14%
COGS excluding D&A,-,909.5M,794.1M,859.8M,964.2M
Depreciation & Amortization Expense,-,107.2M,120M,118.6M,113.4M
Depreciation,-,19.9M,20.4M,20.7M,21.3M
Amortization of Intangibles,-,56.8M,68.7M,62.5M,60.8M
Gross Income,588.9M,551M,277.6M,276.9M,447M
Gross Income Growth,-,-6.44%,-49.62%,-0.25%,61.43%
Gross Profit Margin,-,-,-,-,29.32%
SG&A Expense,-,227M,172.6M,204.5M,207M
SGA Growth,-,-,-23.96%,18.48%,1.22%
Research & Development,-,-,-,-,-
Other SG&A,-,227M,172.6M,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,(61M),4.7M,9.5M,6.4M
EBIT after Unusual Expense,-,61M,(4.7M),(9.5M),(6.4M)
Non Operating Income/Expense,-,(30.8M),600K,10.4M,9.7M
Non-Operating Interest Income,-,300K,300K,1.5M,300K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,18.2M,23M,22.9M,20.3M
Interest Expense Growth,-,-,26.37%,-0.43%,-11.35%
Gross Interest Expense,-,18.2M,23M,22.9M,20.3M
Interest Capitalized,-,-,-,-,-
Pretax Income,318.8M,336.3M,78.2M,51.9M,223.3M
Pretax Income Growth,-,5.49%,-76.75%,-33.63%,330.25%
Pretax Margin,-,-,-,-,14.65%
Income Tax,70.6M,75.9M,11M,4.7M,46.8M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,248.1M,260.4M,67.2M,47.2M,176.6M
Minority Interest Expense,-,-,-,-,-
Net Income,-,260.4M,67.2M,47.2M,176.6M
Net Income Growth,-,-,-74.19%,-29.76%,274.15%
Net Margin Growth,-,-,-,-,11.58%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,260.4M,67.2M,47.2M,176.6M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,260.4M,67.2M,47.2M,176.6M
EPS (Basic),2.12,2.24,0.58,0.4,1.51
EPS (Basic) Growth,-,5.95%,-74.22%,-30.00%,273.52%
Basic Shares Outstanding,117.2M,116.1M,116.2M,116.6M,116.8M
EPS (Diluted),-,2.2,0.57,0.4,1.49
EPS (Diluted) Growth,-,-,-74.23%,-30.01%,274.50%
Diluted Shares Outstanding,118.5M,118.1M,118.3M,118.7M,118.6M
EBITDA,-,431.2M,225M,191M,353.4M
EBITDA Growth,-,-,-47.82%,-15.11%,85.03%
EBITDA Margin,-,-,-,-,23.18%
