Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,713.81M,730.06M,731.06M,755.31M,774.43M
Sales Growth,-,2.28%,0.14%,3.32%,2.53%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,9.94M,9.1M,10.84M,9.9M,9.59M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,476.35M,481.09M,478.34M,500.98M,502.34M
Total Interest Expense,108M,107.47M,101.66M,102.9M,105.82M
Depreciation & Amortization Expense,183.84M,179.41M,177.52M,177.62M,183.15M
Other Operating Expense,751K,1.89M,2.07M,-,496K
Operating Income,237.46M,248.96M,252.72M,254.33M,272.09M
Operating Income Growth,-,4.84%,1.51%,0.64%,6.98%
Non-Operating Income (Expense),11.79M,(2.24M),116.5M,25.53M,100.97M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,13.16M,3.35M,117.33M,23.34M,101.03M
Equity in Affiliates (Pretax),(1.37M),(5.6M),(825K),2.19M,(54K)
Unusual Expense,-,-,44.28M,-,-
Pretax Income,141.25M,139.25M,223.29M,176.96M,267.24M
Pretax Income Growth,-,-1.42%,60.35%,-20.75%,51.02%
Pretax Margin,-,-,-,-,21.87%
Income Taxes,-,-,-,-,-
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,141.25M,139.25M,223.29M,176.96M,267.24M
Minority Interest Expense,29.55M,30.95M,38.75M,33.91M,44.25M
Net Income,111.7M,108.3M,184.54M,143.05M,222.99M
Net Income Growth,-,-3.05%,70.40%,-22.48%,55.89%
Net Margin Growth,-,-,-,-,28.79%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,111.7M,108.3M,184.54M,143.05M,222.99M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,111.7M,108.3M,184.54M,143.05M,222.99M
EPS (Basic),0.72,0.69,1.18,0.91,1.42
EPS (Basic) Growth,-,-3.10%,70.28%,-22.66%,55.80%
Basic Shares Outstanding,156.11M,156.18M,156.3M,156.65M,156.72M
EPS (Diluted),0.71,0.69,1.18,0.91,1.42
EPS (Diluted) Growth,-,-3.10%,70.33%,-22.66%,55.52%
Diluted Shares Outstanding,156.52M,156.6M,156.65M,157M,157.19M
