Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,5.44B,5.34B,5.13B,4.65B,5.21B
Sales Growth,-,-1.82%,-3.89%,-9.33%,11.97%
Cost of Goods Sold (COGS) incl. D&A,3.82B,3.73B,3.76B,3.36B,3.76B
COGS Growth,-,-2.15%,0.64%,-10.59%,11.91%
COGS excluding D&A,3.73B,3.65B,3.67B,3.28B,3.68B
Depreciation & Amortization Expense,85M,83M,87M,79M,76M
Depreciation,60M,58M,63M,58M,56M
Amortization of Intangibles,25M,25M,24M,21M,20M
Gross Income,1.63B,1.61B,1.38B,1.3B,1.45B
Gross Income Growth,-,-1.05%,-14.43%,-5.89%,12.12%
Gross Profit Margin,-,-,-,-,27.86%
SG&A Expense,923M,865M,924M,718M,728M
SGA Growth,-,-6.28%,6.82%,-22.29%,1.39%
Research & Development,125M,123M,134M,125M,122M
Other SG&A,798M,742M,-,-,-
Other Operating Expense,(15M),(22M),-,(1.11B),(7M)
Unusual Expense,21M,13M,37M,10M,13M
EBIT after Unusual Expense,(21M),(13M),(37M),(10M),(13M)
Non Operating Income/Expense,19M,14M,10M,(1M),(1M)
Non-Operating Interest Income,4M,2M,-,39M,7M
Equity in Affiliates (Pretax),87M,76M,48M,58M,101M
Interest Expense,75M,76M,68M,87M,68M
Interest Expense Growth,-,1.33%,-10.53%,27.94%,-21.84%
Gross Interest Expense,75M,76M,68M,87M,68M
Interest Capitalized,-,-,-,-,-
Pretax Income,731M,768M,405M,1.69B,757M
Pretax Income Growth,-,5.06%,-47.27%,316.79%,-55.15%
Pretax Margin,-,-,-,-,14.53%
Income Tax,234M,288M,73M,301M,170M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,497M,480M,332M,1.39B,587M
Minority Interest Expense,10M,11M,8M,8M,14M
Net Income,487M,469M,324M,1.38B,573M
Net Income Growth,-,-3.70%,-30.92%,325.62%,-58.45%
Net Margin Growth,-,-,-,-,11.00%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,487M,469M,324M,1.38B,573M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,487M,469M,324M,1.38B,573M
EPS (Basic),0.56,0.54,0.37,1.62,0.68
EPS (Basic) Growth,-,-3.57%,-30.73%,331.54%,-58.07%
Basic Shares Outstanding,868.7M,867.6M,865.2M,853.3M,845.7M
EPS (Diluted),0.55,0.53,0.36,1.58,0.66
EPS (Diluted) Growth,-,-3.81%,-30.64%,332.57%,-57.90%
Diluted Shares Outstanding,890.9M,892M,888.5M,874.1M,862.7M
EBITDA,802M,848M,539M,1.77B,807M
EBITDA Growth,-,5.74%,-36.44%,228.01%,-54.36%
EBITDA Margin,-,-,-,-,15.49%
