Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.5B,2.69B,2.59B,2.29B,2.82B
Sales Growth,-,7.31%,-3.50%,-11.54%,23.08%
Cost of Goods Sold (COGS) incl. D&A,1.35B,1.56B,1.76B,1.77B,1.61B
COGS Growth,-,15.90%,12.63%,0.68%,-8.88%
COGS excluding D&A,1.05B,1.28B,1.47B,1.47B,1.31B
Depreciation & Amortization Expense,301M,276M,284M,300M,306M
Depreciation,264M,237M,241M,243M,255M
Amortization of Intangibles,37M,39M,43M,57M,51M
Gross Income,1.16B,1.13B,834M,523M,1.21B
Gross Income Growth,-,-2.68%,-25.87%,-37.29%,131.17%
Gross Profit Margin,-,-,-,-,42.86%
SG&A Expense,494M,572M,579M,568M,593M
SGA Growth,-,15.79%,1.22%,-1.90%,4.40%
Research & Development,-,-,-,-,-
Other SG&A,494M,572M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,108M,122M,242M,(56M),(41M)
EBIT after Unusual Expense,(108M),(122M),(242M),56M,41M
Non Operating Income/Expense,123M,(169M),(9M),(17M),(10M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,576M,579M,561M,552M,559M
Interest Expense Growth,-,0.52%,-3.11%,-1.60%,1.27%
Gross Interest Expense,576M,579M,561M,552M,559M
Interest Capitalized,-,-,-,-,-
Pretax Income,101M,(317M),(557M),(558M),88M
Pretax Income Growth,-,-413.86%,-75.71%,-0.18%,115.77%
Pretax Margin,-,-,-,-,3.12%
Income Tax,(1M),(90M),(116M),(107M),52M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,102M,(227M),(441M),(451M),36M
Minority Interest Expense,1M,2M,1M,-,2M
Net Income,101M,(229M),(442M),(451M),34M
Net Income Growth,-,-326.73%,-93.01%,-2.04%,107.54%
Net Margin Growth,-,-,-,-,1.21%
Extraordinaries & Discontinued Operations,(30M),(4M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(30M),(4M),8M,(229M),(157M)
Net Income After Extraordinaries,71M,(233M),(434M),(680M),(123M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,71M,(233M),(434M),(680M),(123M)
EPS (Basic),0.34,(1.09),(2.03),(3.18),(0.57)
EPS (Basic) Growth,-,-420.52%,-86.26%,-56.69%,81.91%
Basic Shares Outstanding,209M,214M,214M,214M,214M
EPS (Diluted),0.34,(1.09),(2.03),(3.18),(0.57)
EPS (Diluted) Growth,-,-423.57%,-86.26%,-56.69%,81.91%
Diluted Shares Outstanding,211M,214M,214M,214M,214M
EBITDA,963M,829M,539M,255M,922M
EBITDA Growth,-,-13.91%,-34.98%,-52.69%,261.57%
EBITDA Margin,-,-,-,-,32.68%
