Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.62B,3.12B,2.66B,2.99B,2.82B
Sales Growth,-,19.15%,-14.85%,12.37%,-5.72%
Cost of Goods Sold (COGS) incl. D&A,1.82B,2.22B,2.18B,2.14B,2.11B
COGS Growth,-,22.14%,-1.94%,-1.70%,-1.45%
COGS excluding D&A,1.44B,1.86B,1.75B,1.84B,1.89B
Depreciation & Amortization Expense,372M,356M,428M,303M,219M
Depreciation,323M,326M,330M,340M,348M
Amortization of Intangibles,49M,30M,98M,(37M),(129M)
Gross Income,806M,906M,485M,851M,711M
Gross Income Growth,-,12.41%,-46.47%,75.46%,-16.45%
Gross Profit Margin,-,-,-,-,25.23%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,264M,275M,261M,292M,264M
Unusual Expense,230M,-,-,-,118M
EBIT after Unusual Expense,(230M),-,-,-,(118M)
Non Operating Income/Expense,122M,149M,533M,119M,171M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,280M,276M,278M,307M,259M
Interest Expense Growth,-,-1.43%,0.72%,10.43%,-15.64%
Gross Interest Expense,287M,283M,285M,313M,265M
Interest Capitalized,7M,7M,7M,6M,6M
Pretax Income,154M,504M,479M,371M,241M
Pretax Income Growth,-,227.27%,-4.96%,-22.55%,-35.04%
Pretax Margin,-,-,-,-,8.55%
Income Tax,96M,88M,49M,83M,49M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,58M,416M,430M,288M,192M
Minority Interest Expense,-,-,-,-,5M
Net Income,58M,416M,430M,288M,187M
Net Income Growth,-,617.24%,3.37%,-33.02%,-35.07%
Net Margin Growth,-,-,-,-,6.64%
Extraordinaries & Discontinued Operations,-,47M,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,47M,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,(3M),-,-
Net Income After Extraordinaries,58M,463M,427M,288M,187M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,58M,416M,427M,288M,187M
EPS (Basic),0.11,0.76,0.78,0.51,0.33
EPS (Basic) Growth,-,617.35%,2.11%,-35.28%,-35.19%
Basic Shares Outstanding,544M,544M,546.9M,570M,571M
EPS (Diluted),0.11,0.76,0.78,0.5,0.33
EPS (Diluted) Growth,-,617.39%,2.10%,-35.28%,-35.19%
Diluted Shares Outstanding,545M,545M,547.9M,571M,572M
EBITDA,914M,987M,652M,862M,666M
EBITDA Growth,-,7.99%,-33.94%,32.21%,-22.74%
EBITDA Margin,-,-,-,-,23.63%
