Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.24B,1.19B,1.41B,1.35B,1.45B
Sales Growth,-,-3.86%,18.39%,-4.44%,7.51%
Cost of Goods Sold (COGS) incl. D&A,691.3M,682.8M,808.3M,757M,829.7M
COGS Growth,-,-1.23%,18.38%,-6.35%,9.60%
COGS excluding D&A,645.1M,635.7M,779.5M,717.9M,786M
Depreciation & Amortization Expense,46.2M,47.1M,28.8M,39.1M,43.7M
Depreciation,30.5M,31.4M,13.3M,23.7M,28.4M
Amortization of Intangibles,15.7M,15.7M,15.5M,15.4M,15.3M
Gross Income,550.7M,511.2M,605.3M,593.8M,622.6M
Gross Income Growth,-,-7.17%,18.41%,-1.90%,4.85%
Gross Profit Margin,-,-,-,-,42.87%
SG&A Expense,227.1M,264.7M,280.1M,260.8M,277.3M
SGA Growth,-,16.56%,5.82%,-6.89%,6.33%
Research & Development,65.9M,79.5M,85.3M,71.8M,79.5M
Other SG&A,161.2M,185.2M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,27.6M,29.3M,51.7M,28.6M,98.9M
EBIT after Unusual Expense,(27.6M),(29.3M),(51.7M),(28.6M),(98.9M)
Non Operating Income/Expense,(14.1M),(6.3M),(1.3M),(6.4M),(15.4M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,30.7M,32.1M,31.9M,28.9M,34.3M
Interest Expense Growth,-,4.56%,-0.62%,-9.40%,18.69%
Gross Interest Expense,30.7M,32.1M,31.9M,28.9M,34.3M
Interest Capitalized,-,-,-,-,-
Pretax Income,251.2M,178.8M,240.3M,269.1M,196.7M
Pretax Income Growth,-,-28.82%,34.40%,11.99%,-26.90%
Pretax Margin,-,-,-,-,13.54%
Income Tax,33.4M,8.7M,17.3M,42.3M,54.7M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(500K),(400K),(500K),(400K),(300K)
Consolidated Net Income,217.3M,169.7M,222.5M,226.4M,141.7M
Minority Interest Expense,300K,2.5M,(5.9M),4.2M,(3M)
Net Income,217M,167.2M,228.4M,222.2M,144.7M
Net Income Growth,-,-22.95%,36.60%,-2.71%,-34.88%
Net Margin Growth,-,-,-,-,9.96%
Extraordinaries & Discontinued Operations,(14.6M),(9.7M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(14.6M),(9.7M),(35.8M),(15.2M),(10.8M)
Net Income After Extraordinaries,202.4M,157.5M,192.6M,207M,133.9M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,202.4M,157.5M,192.6M,207M,133.9M
EPS (Basic),1.57,1.23,1.52,1.64,1.06
EPS (Basic) Growth,-,-21.71%,23.93%,7.93%,-35.38%
Basic Shares Outstanding,129.09M,128.31M,126.6M,126.06M,126.2M
EPS (Diluted),1.56,1.22,1.51,1.63,1.05
EPS (Diluted) Growth,-,-21.64%,23.82%,7.95%,-35.37%
Diluted Shares Outstanding,129.89M,128.99M,127.4M,126.84M,126.95M
EBITDA,369.8M,293.6M,354M,372.1M,389M
EBITDA Growth,-,-20.61%,20.57%,5.11%,4.54%
EBITDA Margin,-,-,-,-,26.79%
