Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Interest Income,935M,1.21B,1.18B,1.2B,1.33B
Interest Income Growth,-,28.88%,-1.91%,1.10%,11.38%
Interest and Fees on Loans,806M,1.06B,1.02B,1B,1.08B
Interest Income on Fed. Funds,-,-,-,-,-
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,129M,149M,160M,191M,253M
Total Internest Expense,97M,45M,50M,49M,70M
Total Internest Expense Growth,-,-53.61%,11.11%,-2.00%,42.86%
Interest Expense on Bank Deposits,12M,11M,11M,11M,25M
Other Interest Expense,85M,34M,-,-,-
Interest Expense on Debt,85M,34M,39M,38M,45M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,-,-,-,-,-
Net Interest Income,838M,1.16B,1.13B,1.15B,1.26B
Net Interest Income Growth,-,38.42%,-2.41%,1.24%,10.03%
Loan Loss Provision,211M,(62M),(64M),25M,67M
Loan Loss Provision Growth,-,-129.38%,-3.23%,139.06%,168.00%
Net Interest Income after Provision,627M,1.22B,1.2B,1.12B,1.19B
Net Interest Inc After Loan Loss Prov Growth,-,94.90%,-2.13%,-6.27%,6.51%
Net Interest Margin,-,-,-,-,2.94%
Non-Interest Income,396M,511M,501M,550M,477M
Securities Gain,10M,-,(1M),-,-
Trading Account Income,22M,(4M),2M,(47M),(33M)
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,124M,256M,232M,344M,311M
Other Operating Income,80M,116M,122M,101M,84M
Non-Interest Expense,1.02B,1.27B,1.21B,1.1B,1.01B
Labor & Related Expense,592M,643M,632M,580M,577M
Equipment Expense,127M,162M,136M,145M,119M
Other Operating Expense,156M,453M,436M,216M,229M
Operating Income,(1M),468M,490M,567M,661M
Operating Income Growth,-,"46,900.00%",4.70%,15.71%,16.58%
Operating Income Margin,-,-,-,-,26.42%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,(1M),468M,490M,567M,661M
Pretax Income Growth,-,"46,900.00%",4.70%,15.71%,16.58%
Pretax Margin,-,-,-,-,26.42%
Income Taxes,14M,90M,88M,105M,120M
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,-
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(15M),378M,402M,462M,541M
Minority Interest Expense,-,1M,1M,2M,2M
Net Income,(15M),377M,401M,460M,539M
Net Income Growth,-,"2,613.33%",6.37%,14.71%,17.17%
Net Income Margin,-,-,-,-,21.50%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,43M,44M,24M,28M,28M
Net Income Available to Common,(58M),333M,377M,432M,511M
EPS (Basic),(0.05),0.23,0.26,0.3,0.35
EPS (Basic) Grwoth,-,541.28%,14.67%,15.01%,18.08%
Basic Shares Outstanding,1.13B,1.46B,1.44B,1.44B,1.44B
EPS (Diluted),(0.05),0.22,0.26,0.3,0.35
EPS (Diluted) Growth,-,533.91%,14.47%,15.10%,18.37%
Diluted Shares Outstanding,1.13B,1.49B,1.47B,1.46B,1.46B
