Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,436.93M,452.58M,463.58M,476.08M,495.04M
Sales Growth,-,3.58%,2.43%,2.70%,3.98%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,314.28M,320.52M,347.98M,324.12M,325.2M
Total Interest Expense,38.59M,38.96M,38.83M,38.84M,38.63M
Depreciation & Amortization Expense,131.82M,134.61M,135.5M,133.74M,134.14M
Other Operating Expense,(13.17M),(13.43M),16.05M,(11.9M),(21.84M)
Operating Income,122.64M,132.06M,115.6M,151.96M,169.84M
Operating Income Growth,-,7.68%,-12.46%,31.45%,11.77%
Non-Operating Income (Expense),141.05M,10.58M,121.55M,(8.2M),96.4M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,141.05M,10.58M,121.55M,(8.2M),96.4M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,(486K),14.09M,(90K),(6.84M),14.52M
Pretax Income,225.6M,89.59M,198.41M,111.76M,213.1M
Pretax Income Growth,-,-60.29%,121.46%,-43.67%,90.68%
Pretax Margin,-,-,-,-,31.67%
Income Taxes,2.05M,2.8M,7.79M,(1.44M),(3.05M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,325K,258K,296K,379K,409K
Other After Tax Income (Expense),(234K),(80K),(180K),(79K),(149K)
Consolidated Net Income,223.64M,86.97M,190.74M,113.5M,216.41M
Minority Interest Expense,7.4M,2.57M,5.28M,2.78M,5.86M
Net Income,216.24M,84.4M,185.46M,110.72M,210.55M
Net Income Growth,-,-60.97%,119.74%,-40.30%,90.16%
Net Margin Growth,-,-,-,-,42.53%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,216.24M,84.4M,185.46M,110.72M,210.55M
Preferred Dividends,922K,922K,922K,922K,922K
Net Income Available to Common,215.32M,83.48M,184.54M,109.8M,209.63M
EPS (Basic),1.88,0.73,1.6,0.95,1.82
EPS (Basic) Growth,-,-61.38%,120.64%,-40.56%,90.77%
Basic Shares Outstanding,114.49M,114.93M,115.16M,115.26M,115.35M
EPS (Diluted),1.88,0.73,1.6,0.95,1.82
EPS (Diluted) Growth,-,-61.38%,120.34%,-40.56%,91.18%
Diluted Shares Outstanding,114.81M,115.23M,115.62M,115.72M,115.56M
