Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.8B,3.42B,3.84B,3.92B,5.37B
Sales Growth,-,22.06%,12.36%,2.12%,36.99%
Cost of Goods Sold (COGS) incl. D&A,2.05B,2.55B,2.67B,2.48B,3.53B
COGS Growth,-,24.69%,4.71%,-7.15%,42.03%
COGS excluding D&A,1.84B,2.35B,2.44B,2.24B,3.28B
Depreciation & Amortization Expense,203.5M,203.8M,233M,246.3M,245M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,752.3M,864.5M,1.17B,1.44B,1.85B
Gross Income Growth,-,14.91%,34.95%,23.36%,28.30%
Gross Profit Margin,-,-,-,-,34.36%
SG&A Expense,107.6M,97.7M,123.5M,132.4M,108.2M
SGA Growth,-,-9.20%,26.41%,7.21%,-18.28%
Research & Development,-,-,-,-,-
Other SG&A,107.6M,97.7M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,158.1M,-,22M,-,-
EBIT after Unusual Expense,(158.1M),-,(22M),-,-
Non Operating Income/Expense,109.9M,(164.7M),(96.2M),260M,(326.8M)
Non-Operating Interest Income,6.5M,6.8M,7.5M,4.6M,9M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,43.8M,54.6M,46.5M,43.9M,43.1M
Interest Expense Growth,-,24.66%,-14.84%,-5.59%,-1.82%
Gross Interest Expense,43.8M,54.6M,46.5M,43.9M,43.1M
Interest Capitalized,-,-,-,-,-
Pretax Income,559.2M,554.3M,885.9M,1.53B,1.38B
Pretax Income Growth,-,-0.88%,59.82%,72.41%,-9.83%
Pretax Margin,-,-,-,-,25.63%
Income Tax,115.9M,176.6M,245.5M,372.4M,369.3M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(4.5M),(1.2M),21M,30.7M,35.9M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,438.8M,376.5M,661.4M,1.19B,1.04B
Minority Interest Expense,1.6M,4.6M,(3.4M),3.7M,7.9M
Net Income,437.2M,371.9M,664.8M,1.18B,1.04B
Net Income Growth,-,-14.94%,78.76%,77.80%,-12.36%
Net Margin Growth,-,-,-,-,19.28%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,437.2M,371.9M,664.8M,1.18B,1.04B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,437.2M,371.9M,664.8M,1.18B,1.04B
EPS (Basic),1.15,0.98,1.78,3.23,2.88
EPS (Basic) Growth,-,-14.93%,81.68%,81.48%,-10.75%
Basic Shares Outstanding,379.8M,379.8M,373.7M,366.1M,359.5M
EPS (Diluted),1.14,0.97,1.76,3.19,2.85
EPS (Diluted) Growth,-,-14.91%,81.46%,81.35%,-10.67%
Diluted Shares Outstanding,383.3M,383.2M,377.5M,370.1M,363.1M
EBITDA,848.2M,970.6M,1.28B,1.55B,1.98B
EBITDA Growth,-,14.43%,31.48%,21.70%,27.69%
EBITDA Margin,-,-,-,-,36.91%
