Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.41B,1.36B,1.47B,1.54B,1.55B
Sales Growth,-,-3.90%,8.11%,4.64%,1.11%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,117M,114M,132M,125M,132M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,1.3B,1.24B,1.34B,1.41B,1.42B
Total Expense,1B,988M,1.11B,1.12B,1.13B
Total Interest Expense,33M,33M,31M,32M,32M
Depreciation & Amortization Expense,68M,67M,80M,67M,65M
Other Operating Expense,257M,257M,266M,281M,272M
Operating Income,409M,369M,361M,420M,424M
Operating Income Growth,-,-9.78%,-2.17%,16.34%,0.95%
Non-Operating Income (Expense),111M,48M,1M,1M,17M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,84M,42M,39M,(6M),8M
Equity in Affiliates (Pretax),27M,6M,(38M),7M,9M
Unusual Expense,33M,13M,17M,15M,12M
Pretax Income,454M,371M,314M,374M,397M
Pretax Income Growth,-,-18.28%,-15.36%,19.11%,6.15%
Pretax Margin,-,-,-,-,26.06%
Income Taxes,113M,83M,55M,91M,90M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,341M,288M,259M,283M,307M
Minority Interest Expense,-,-,-,(1M),-
Net Income,341M,288M,259M,284M,307M
Net Income Growth,-,-15.54%,-10.07%,9.65%,8.10%
Net Margin Growth,-,-,-,-,19.78%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,341M,288M,259M,284M,307M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,341M,288M,259M,284M,307M
EPS (Basic),2.08,1.72,1.55,1.72,1.87
EPS (Basic) Growth,-,-17.36%,-9.75%,11.01%,8.74%
Basic Shares Outstanding,164.09M,167.69M,167.1M,165.05M,164.08M
EPS (Diluted),2.05,1.69,1.53,1.7,1.85
EPS (Diluted) Growth,-,-17.40%,-9.82%,11.26%,9.22%
Diluted Shares Outstanding,166.44M,170.18M,169.7M,167.25M,165.53M
