Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.6B,2.86B,3.04B,3.14B,3.31B
Sales Growth,-,10.21%,6.22%,3.19%,5.61%
Cost of Goods Sold (COGS) incl. D&A,1.31B,1.42B,1.47B,1.49B,1.57B
COGS Growth,-,7.77%,3.75%,1.77%,4.89%
COGS excluding D&A,1.01B,1.11B,1.16B,1.18B,1.25B
Depreciation & Amortization Expense,305M,306M,310M,310M,317M
Depreciation,135M,139M,145M,142M,149M
Amortization of Intangibles,170M,167M,165M,168M,168M
Gross Income,1.28B,1.45B,1.57B,1.64B,1.75B
Gross Income Growth,-,12.70%,8.64%,4.52%,6.27%
Gross Profit Margin,-,-,-,-,52.69%
SG&A Expense,709M,735M,764M,768M,808M
SGA Growth,-,3.67%,3.95%,0.52%,5.21%
Research & Development,475M,492M,507M,517M,543M
Other SG&A,234M,243M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,1M,-,22M,1M,14M
EBIT after Unusual Expense,(1M),-,(22M),(1M),(14M)
Non Operating Income/Expense,(1M),3M,-,-,5M
Non-Operating Interest Income,1M,1M,-,2M,6M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,100M,97M,101M,107M,119M
Interest Expense Growth,-,-3.00%,4.12%,5.94%,11.21%
Gross Interest Expense,100M,97M,101M,107M,119M
Interest Capitalized,-,-,-,-,-
Pretax Income,473M,618M,684M,768M,815M
Pretax Income Growth,-,30.66%,10.68%,12.28%,6.12%
Pretax Margin,-,-,-,-,24.61%
Income Tax,65M,95M,72M,114M,129M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(2M),3M,(2M),12M,(3M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,406M,526M,610M,666M,683M
Minority Interest Expense,9M,7M,8M,9M,13M
Net Income,397M,519M,602M,657M,670M
Net Income Growth,-,30.73%,15.99%,9.14%,1.98%
Net Margin Growth,-,-,-,-,20.23%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,397M,519M,602M,657M,670M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,397M,519M,602M,657M,670M
EPS (Basic),1.46,1.95,2.27,2.5,2.55
EPS (Basic) Growth,-,33.74%,16.39%,10.20%,2.17%
Basic Shares Outstanding,272.69M,266.56M,265.64M,263.09M,262.58M
EPS (Diluted),1.42,1.91,2.24,2.48,2.53
EPS (Diluted) Growth,-,34.28%,17.21%,10.55%,2.14%
Diluted Shares Outstanding,278.74M,271.36M,268.55M,265.11M,264.69M
EBITDA,879M,1.02B,1.12B,1.18B,1.25B
EBITDA Growth,-,15.70%,9.83%,6.00%,5.91%
EBITDA Margin,-,-,-,-,37.86%
