Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.67B,1.74B,1.85B,1.95B,2.09B
Sales Growth,-,4.32%,5.97%,5.36%,7.20%
Cost of Goods Sold (COGS) incl. D&A,1.05B,1.05B,1.04B,1.01B,1.07B
COGS Growth,-,-0.82%,-0.73%,-3.22%,6.45%
COGS excluding D&A,901.5M,896.1M,898.1M,864.4M,931.4M
Depreciation & Amortization Expense,153.1M,149.9M,140.3M,140.6M,138.4M
Depreciation,128.3M,125.2M,115.8M,119.3M,116.5M
Amortization of Intangibles,24.8M,24.7M,24.5M,21.3M,21.9M
Gross Income,615.3M,696.1M,807.7M,940M,1.02B
Gross Income Growth,-,13.13%,16.03%,16.38%,8.00%
Gross Profit Margin,-,-,-,-,48.69%
SG&A Expense,315.6M,298.6M,314.3M,305.8M,317.9M
SGA Growth,-,-5.39%,5.26%,-2.70%,3.96%
Research & Development,166.3M,154.5M,160.6M,156.8M,161.6M
Other SG&A,149.3M,144.1M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,43.7M,(1.7M),15.9M,(13M),120.6M
EBIT after Unusual Expense,(43.7M),1.7M,(15.9M),13M,(120.6M)
Non Operating Income/Expense,3.7M,9.3M,25.2M,2.8M,7.8M
Non-Operating Interest Income,200K,500K,300K,400K,1.1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,37.9M,36.8M,36.8M,22.3M,21.6M
Interest Expense Growth,-,-2.90%,0.00%,-39.40%,-3.14%
Gross Interest Expense,37.9M,36.8M,36.8M,22.3M,21.6M
Interest Capitalized,-,-,-,-,-
Pretax Income,222M,372.2M,466.2M,628.1M,564M
Pretax Income Growth,-,67.66%,25.26%,34.73%,-10.21%
Pretax Margin,-,-,-,-,27.05%
Income Tax,37.9M,61.8M,39.8M,97.1M,107.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,184.1M,310.4M,426.4M,531M,456.6M
Minority Interest Expense,-,700K,500K,800K,800K
Net Income,184.1M,309.7M,425.9M,530.2M,455.8M
Net Income Growth,-,68.22%,37.52%,24.49%,-14.03%
Net Margin Growth,-,-,-,-,21.86%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,184.1M,309.7M,425.9M,530.2M,455.8M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,184.1M,309.7M,425.9M,530.2M,455.8M
EPS (Basic),0.43,0.72,0.99,1.22,1.05
EPS (Basic) Growth,-,67.10%,37.36%,23.86%,-14.20%
Basic Shares Outstanding,427.7M,430.6M,431.1M,433.3M,434.2M
EPS (Diluted),0.42,0.7,0.96,1.18,1.02
EPS (Diluted) Growth,-,69.35%,36.08%,23.49%,-13.57%
Diluted Shares Outstanding,443.6M,440.7M,445.3M,448.9M,447M
EBITDA,452.8M,547.4M,633.7M,774.8M,835.7M
EBITDA Growth,-,20.89%,15.77%,22.27%,7.86%
EBITDA Margin,-,-,-,-,40.08%
