Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,469.88M,486.18M,679.66M,804.81M,808.27M
Sales Growth,-,3.47%,39.80%,18.41%,0.43%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,1.43M,2.94M,(141K),5.25M,7.47M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,239.5M,250.44M,405.54M,490.97M,588.69M
Total Interest Expense,72.95M,75.42M,100.01M,105.68M,109.4M
Depreciation & Amortization Expense,187.79M,198.83M,333.23M,403.76M,409.44M
Other Operating Expense,2.62M,2.43M,1.78M,7.16M,99.53M
Operating Income,230.39M,235.73M,274.12M,313.85M,219.58M
Operating Income Growth,-,2.32%,16.28%,14.49%,-30.04%
Non-Operating Income (Expense),15.3M,12.09M,29.82M,16.34M,138.59M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,15.3M,12.09M,28.71M,15.39M,145.22M
Equity in Affiliates (Pretax),-,-,1.11M,954K,(6.63M)
Unusual Expense,38.74M,28.68M,192.84M,13.56M,10.29M
Pretax Income,133.99M,141.36M,14.6M,210.95M,238.48M
Pretax Income Growth,-,5.49%,-89.67%,"1,345.37%",13.05%
Pretax Margin,-,-,-,-,18.82%
Income Taxes,9.23M,6.08M,10.13M,10.98M,14.66M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,124.77M,135.28M,4.47M,199.97M,223.82M
Minority Interest Expense,289K,280K,426K,602K,615K
Net Income,124.48M,135M,4.04M,199.37M,223.21M
Net Income Growth,-,8.45%,-97.01%,"4,833.66%",11.96%
Net Margin Growth,-,-,-,-,27.62%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,124.48M,135M,4.04M,199.37M,223.21M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,124.48M,135M,4.04M,199.37M,223.21M
EPS (Basic),0.33,0.34,0.01,0.34,0.37
EPS (Basic) Growth,-,3.55%,-97.74%,"4,203.85%",10.52%
Basic Shares Outstanding,374.24M,391.91M,519.12M,593.83M,601.67M
EPS (Diluted),0.33,0.34,0.01,0.34,0.37
EPS (Diluted) Growth,-,3.55%,-97.73%,"4,202.56%",10.49%
Diluted Shares Outstanding,374.34M,392.05M,519.44M,594.04M,602.03M
