Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,6.56B,6.61B,8B,7.33B,7.78B
Sales Growth,-,0.70%,21.03%,-8.40%,6.15%
Cost of Goods Sold (COGS) incl. D&A,3.96B,4.16B,5.55B,4.89B,5.2B
COGS Growth,-,5.03%,33.52%,-11.90%,6.30%
COGS excluding D&A,3.87B,4.06B,5.45B,4.8B,5.11B
Depreciation & Amortization Expense,95M,95M,101M,96M,94M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,2.6B,2.45B,2.45B,2.44B,2.58B
Gross Income Growth,-,-5.88%,-0.16%,-0.45%,5.87%
Gross Profit Margin,-,-,-,-,33.15%
SG&A Expense,1.46B,1.53B,1.99B,1.62B,1.71B
SGA Growth,-,4.59%,30.47%,-18.68%,5.62%
Research & Development,-,-,-,-,-
Other SG&A,1.46B,1.53B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,42M,11M,17M,128M,59M
EBIT after Unusual Expense,(42M),(11M),(17M),(128M),(59M)
Non Operating Income/Expense,145M,(66M),2.2B,-,(80M)
Non-Operating Interest Income,13M,11M,16M,21M,19M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,243M,243M,241M,240M,230M
Interest Expense Growth,-,0.00%,-0.82%,-0.41%,-4.17%
Gross Interest Expense,243M,243M,241M,240M,230M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.02B,616M,2.42B,470M,519M
Pretax Income Growth,-,-39.49%,292.37%,-80.55%,10.43%
Pretax Margin,-,-,-,-,6.67%
Income Tax,(34M),120M,334M,34M,129M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(44M),(18M),(11M),(37M),(29M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.01B,478M,2.07B,399M,361M
Minority Interest Expense,13M,13M,50M,8M,3M
Net Income,995M,465M,2.02B,391M,358M
Net Income Growth,-,-53.27%,334.84%,-80.66%,-8.44%
Net Margin Growth,-,-,-,-,4.60%
Extraordinaries & Discontinued Operations,41M,73M,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,41M,73M,36M,42M,61M
Net Income After Extraordinaries,1.04B,538M,2.06B,433M,419M
Preferred Dividends,14M,14M,14.2M,14M,14M
Net Income Available to Common,1.02B,524M,2.04B,419M,405M
EPS (Basic),1.58,0.81,3.16,0.65,0.62
EPS (Basic) Growth,-,-48.72%,289.41%,-79.56%,-3.35%
Basic Shares Outstanding,646M,646M,647M,649M,649M
EPS (Diluted),1.57,0.8,3.09,0.64,0.62
EPS (Diluted) Growth,-,-48.57%,283.56%,-79.15%,-3.19%
Diluted Shares Outstanding,662M,651M,662M,651M,650M
EBITDA,1.24B,1.02B,557M,913M,963M
EBITDA Growth,-,-17.74%,-45.39%,63.91%,5.48%
EBITDA Margin,-,-,-,-,12.38%
