Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,329.41M,334.24M,340.31M,346.9M,351.9M
Sales Growth,-,1.47%,1.81%,1.94%,1.44%
Cost of Goods Sold (COGS) incl. D&A,47.8M,47.8M,49.37M,50.7M,49.5M
COGS Growth,-,0.01%,3.28%,2.70%,-2.37%
COGS excluding D&A,35.79M,35.77M,37.04M,38.8M,37.6M
Depreciation & Amortization Expense,12M,12.03M,12.33M,11.9M,11.9M
Depreciation,12M,12.03M,12.33M,11.9M,11.9M
Amortization of Intangibles,-,-,-,-,-
Gross Income,281.61M,286.44M,290.94M,296.2M,302.4M
Gross Income Growth,-,1.72%,1.57%,1.81%,2.09%
Gross Profit Margin,-,-,-,-,85.93%
SG&A Expense,68.63M,65.14M,68.83M,71.4M,66.4M
SGA Growth,-,-5.09%,5.67%,3.74%,-7.00%
Research & Development,19.81M,19.57M,20.84M,22.9M,20.3M
Other SG&A,48.82M,45.57M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,2.15M,-,-,-,-
EBIT after Unusual Expense,(2.15M),-,-,-,-
Non Operating Income/Expense,(3K),53K,(40K),300K,1.6M
Non-Operating Interest Income,111K,111K,144K,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,23.06M,18.83M,18.83M,18.8M,18.9M
Interest Expense Growth,-,-18.36%,-0.01%,-0.15%,0.53%
Gross Interest Expense,23.06M,18.83M,18.83M,18.8M,18.9M
Interest Capitalized,-,-,-,-,-
Pretax Income,187.87M,202.64M,203.39M,206.3M,218.7M
Pretax Income Growth,-,7.86%,0.37%,1.43%,6.01%
Pretax Margin,-,-,-,-,62.15%
Income Tax,40.1M,46.02M,(126.69M),48.8M,51.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,147.77M,156.62M,330.08M,157.5M,167.3M
Minority Interest Expense,-,-,-,-,-
Net Income,147.77M,156.62M,330.08M,157.5M,167.3M
Net Income Growth,-,5.99%,110.75%,-52.28%,6.22%
Net Margin Growth,-,-,-,-,47.54%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,147.77M,156.62M,330.08M,157.5M,167.3M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,147.77M,156.62M,330.08M,157.5M,167.3M
EPS (Basic),1.31,1.4,2.98,1.43,1.54
EPS (Basic) Growth,-,6.68%,112.19%,-51.98%,7.59%
Basic Shares Outstanding,112.39M,111.66M,110.91M,110.2M,108.8M
EPS (Diluted),1.31,1.4,2.97,1.43,1.54
EPS (Diluted) Growth,-,6.68%,112.09%,-51.95%,7.69%
Diluted Shares Outstanding,112.52M,111.79M,111.09M,110.3M,108.8M
EBITDA,224.98M,233.34M,234.44M,236.7M,247.9M
EBITDA Growth,-,3.71%,0.47%,0.96%,4.73%
EBITDA Margin,-,-,-,-,70.45%
