Strike Price,Last Trade Price,Price Change Since Last Close,Bid Price,Ask Price,Volume,Open Interest,Strike Price,Last Trade Price,Price Change Since Last Close,Bid Price,Ask Price,Volume,Open Interest
20.00,0.00,0.00,164.40,166.00,0,0,20.00,0.01,0.00,0.01,0.02,1,0
30.00,0.00,0.00,154.45,156.05,0,10,30.00,0.00,0.00,0.00,0.02,0,0
40.00,0.00,0.00,144.50,146.10,0,0,40.00,0.00,0.00,0.00,0.02,0,0
50.00,0.00,0.00,134.55,136.15,0,0,50.00,0.00,0.00,0.01,0.03,0,1
60.00,0.00,0.00,124.60,126.20,0,0,60.00,0.00,0.00,0.01,0.05,0,0
70.00,0.00,0.00,114.65,116.25,0,0,70.00,0.00,0.00,0.02,0.09,0,0
80.00,0.00,0.00,104.75,106.35,0,0,80.00,0.08,-0.01,0.05,0.09,4,10
90.00,0.00,0.00,94.85,96.50,0,0,90.00,0.11,-0.06,0.11,0.13,31,13
100.00,85.20,-21.00,85.05,86.65,2,13,100.00,0.19,-0.09,0.17,0.22,12,98
105.00,0.00,0.00,80.15,81.75,0,3,105.00,0.26,-0.06,0.23,0.30,1,3
110.00,75.05,0.00,75.25,76.85,1,0,110.00,0.54,0.14,0.31,0.38,20,155
115.00,0.00,0.00,70.40,72.00,0,1,115.00,0.45,-0.07,0.41,0.48,5,29
120.00,66.62,0.00,65.55,67.15,2,0,120.00,0.57,-0.09,0.56,0.60,8,161
125.00,0.00,0.00,60.75,62.35,0,0,125.00,0.73,-0.27,0.71,0.80,22,40
130.00,56.31,-20.19,56.00,57.60,1,2,130.00,1.00,-0.12,0.94,1.09,16,135
135.00,53.08,-7.07,51.35,52.85,20,1,135.00,1.28,-0.23,1.24,1.36,16,119
140.00,48.00,-0.83,46.75,48.35,1,4,140.00,1.68,-0.16,1.58,1.75,21,150
145.00,43.00,0.30,42.30,43.80,1,5,145.00,2.09,-0.27,2.09,2.29,22,265
149.00,39.58,-2.23,39.15,39.80,2,22,149.00,2.70,-0.74,2.61,2.80,5,379
150.00,38.87,0.47,38.30,38.95,8,34,150.00,2.85,-0.15,2.73,2.95,270,529
155.00,34.45,-9.88,34.15,34.80,5,5,155.00,3.63,-0.33,3.55,3.75,58,391
160.00,30.40,-6.55,30.20,30.85,23,45,160.00,4.60,-0.30,4.55,4.80,54,385
162.50,26.26,-3.19,28.45,28.95,5,6,162.50,5.25,-0.85,5.15,5.45,13,34
165.00,26.43,-5.82,26.60,27.15,2,113,165.00,5.85,-0.35,5.80,6.10,36,151
167.50,24.68,-0.54,24.85,25.35,26,208,167.50,6.58,-0.07,6.50,6.75,7,290
170.00,23.42,-0.54,23.10,23.65,9,48,170.00,7.38,-0.21,7.25,7.55,64,310
172.50,21.34,-1.41,21.45,21.85,12,278,172.50,8.20,-0.30,8.10,8.40,13,24
175.00,20.66,-0.58,19.85,20.25,7,62,175.00,9.09,-0.22,9.10,9.30,41,359
177.50,18.49,-1.11,18.35,18.75,2,2,177.50,10.20,-0.50,9.95,10.30,27,41
180.00,17.65,-0.55,16.90,17.25,42,25,180.00,11.00,-0.36,11.05,11.30,234,388
182.50,15.51,-1.19,15.50,15.95,138,26,182.50,12.24,-0.16,12.15,12.45,85,121
185.00,14.55,-0.75,14.25,14.65,161,102,185.00,13.55,-0.06,13.35,13.65,67,248
187.50,13.17,-1.36,13.00,13.40,81,43,187.50,14.68,-0.37,14.60,14.95,30,123
190.00,11.95,-1.16,11.95,12.20,127,195,190.00,16.05,-0.35,15.95,16.30,14,134
